gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM	Kimble_Log2FC	Kimble_Adjusted_p-value	Kimble_Sperm_FPKM	Kimble_Oocyte_FPKM	Stoeckius_Sperm_RPKM	Stoeckius_Oocyte_RPKM	Stoeckius_oneCell_RPKM	Stoeckius_twoCell_RPKM
WBGene00197333	cTel3X.2	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00198386	cTel3X.3	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00015153	B0348.5	FALSE	FALSE	FALSE	0.520867711	2.594571076	0.906731614	-0.574	-0.137	-0.91	1.434	-0.479	0.235	0.713849833	0.10561718	0.389	0.236	0.381	0.231	0.135	0.102
WBGene00002061	ife-3	FALSE	FALSE	FALSE	-0.231805537	-0.825169806	-0.943308534	7.031	6.816	6.754	5.929	6.779	5.842	-0.211201362	0.075125281	429.342	497.038	235.799	413.816	213.331	201.785
WBGene00255704	B0348.10	FALSE	FALSE	FALSE	0.789840386	-2.325181071	0.366967399	-1.943	-3.322	-0.958	-3.322	-1.012	-1.238	-1.01950511	0.738425312	0.046	0.118				
WBGene00235314	B0348.9	FALSE	FALSE	FALSE		-0.11963462	1.556556151	-3.322	-3.322	-2.634	-3.322	-2.622	-2.409	0.601238799		0.032	0.015				
WBGene00001177	egl-8	FALSE	FALSE	FALSE	-0.070009208	-0.668369906	-0.702724534	3.755	3.705	3.478	2.817	3.746	3.037	-0.044965632	0.868275163	4.316	4.453	5.341	2.561	0.425	0.516
WBGene00169236	21ur-15398	FALSE	FALSE	FALSE	2.162489896	-0.245080522	1.556656506	-3.322	-3.322	2.471	2.4	-1.23	-1.35	-0.480770659		0	0.251				
WBGene00219784	B0348.8	FALSE	FALSE	FALSE	0.654434685	-0.272305134	0.923491651	0.229	-1.676	0.858	0.789	0.754	1.556	1.792300871	0.539171591	0.212	0.043				
WBGene00015152	B0348.2	FALSE	FALSE	FALSE	-0.298357168	-0.859776074	-0.779673843	-1.707	-3.322	-1.45	-2.534	-1.38	-2.484	1.320589017	0.444092815	0.135	0.054	0.295	0.023	0	0.006
WBGene00015151	B0348.1	FALSE	FALSE	FALSE		1.390802126	2.032558416	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322	-0.120101966		0	0.013	0	0.085	0	0
WBGene00021413	srt-52	FALSE	FALSE	FALSE	-0.060389344	-1.667136118	1.437940923	-2.547	-3.322	-2.738	-3.322	-2.694	-2.176	-2.880041799	0.364278043	0	0.043	0	0.055	0	0.024
WBGene00021412	cyp-29A3	FALSE	FALSE	FALSE	-1.314500179	-0.831040662	-0.752672193	-1.39	-2.595	-1.39	-1.963	-0.459	-1.26	-0.35631526	0.618666948	0.138	0.177	0.085	0.107	0.022	0.014
WBGene00021414	Y38C9B.3	FALSE	FALSE	FALSE		-0.024812051	-0.410066176	-3.322	-3.322	-2.894	-3.322	-2.353	-3.322	0.961907492		0.025	0				
WBGene00018976	daam-1	FALSE	FALSE	FALSE	0.709275864	0.219904186	2.194692468	0.263	0.93	0.278	0.454	0.551	2.672	0.815163721	0.074906333	0.326	0.184				
WBGene00199654	F56E10.6	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00200227	F56E10.7	FALSE	FALSE	FALSE		1.390802126		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322			0	0				
WBGene00169451	21ur-15058	FALSE	FALSE	FALSE		-0.119710646		-3.322	-3.322	-1.249	-3.322	-3.322	-3.322			0	0				
WBGene00004496	rps-27	FALSE	FALSE	FALSE	-1.169211735	-1.414100774	-1.569619854	8.903	7.721	7.712	6.301	8.211	6.65	0.725432039	2.00298E-07	2534.726	1533.06	1526.176	114.186	335.074	301.204
WBGene00018975	F56E10.1	FALSE	FALSE	FALSE	-0.748504541	-0.91333008	-0.901195751	4.6	3.829	4.47	3.56	4.597	3.707	-0.454619355	0.122146369	16.489	22.597	15.487	11.789	6.259	7.955
