gene_ID	name	SPN4	OMA1	LIN41	spn4_enrichment	oma1_enrichment	lin41_enrichment	Log2_SPN-4_LYSATE_FPKM	Log2_SPN-4_IP_FPKM	Log2_OMA-1_LYSATE_FPKM	Log2_OMA-1_IP_FPKM	Log2_LIN-41_LYSATE_FPKM	Log2_LIN-41_IP_FPKM
WBGene00197333	cTel3X.2	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00198386	cTel3X.3	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00015153	B0348.5	FALSE	FALSE	FALSE	0.520867711	2.594571076	0.906731614	-0.574	-0.137	-0.91	1.434	-0.479	0.235
WBGene00002061	ife-3	FALSE	FALSE	FALSE	-0.231805537	-0.825169806	-0.943308534	7.031	6.816	6.754	5.929	6.779	5.842
WBGene00255704	B0348.10	FALSE	FALSE	FALSE	0.789840386	-2.325181071	0.366967399	-1.943	-3.322	-0.958	-3.322	-1.012	-1.238
WBGene00235314	B0348.9	FALSE	FALSE	FALSE		-0.11963462	1.556556151	-3.322	-3.322	-2.634	-3.322	-2.622	-2.409
WBGene00001177	egl-8	FALSE	FALSE	FALSE	-0.070009208	-0.668369906	-0.702724534	3.755	3.705	3.478	2.817	3.746	3.037
WBGene00169236	21ur-15398	FALSE	FALSE	FALSE	2.162489896	-0.245080522	1.556656506	-3.322	-3.322	2.471	2.4	-1.23	-1.35
WBGene00219784	B0348.8	FALSE	FALSE	FALSE	0.654434685	-0.272305134	0.923491651	0.229	-1.676	0.858	0.789	0.754	1.556
WBGene00015152	B0348.2	FALSE	FALSE	FALSE	-0.298357168	-0.859776074	-0.779673843	-1.707	-3.322	-1.45	-2.534	-1.38	-2.484
WBGene00015151	B0348.1	FALSE	FALSE	FALSE		1.390802126	2.032558416	-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00021413	srt-52	FALSE	FALSE	FALSE	-0.060389344	-1.667136118	1.437940923	-2.547	-3.322	-2.738	-3.322	-2.694	-2.176
WBGene00021412	cyp-29A3	FALSE	FALSE	FALSE	-1.314500179	-0.831040662	-0.752672193	-1.39	-2.595	-1.39	-1.963	-0.459	-1.26
WBGene00021414	Y38C9B.3	FALSE	FALSE	FALSE		-0.024812051	-0.410066176	-3.322	-3.322	-2.894	-3.322	-2.353	-3.322
WBGene00018976	daam-1	FALSE	FALSE	FALSE	0.709275864	0.219904186	2.194692468	0.263	0.93	0.278	0.454	0.551	2.672
WBGene00199654	F56E10.6	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00200227	F56E10.7	FALSE	FALSE	FALSE		1.390802126		-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00169451	21ur-15058	FALSE	FALSE	FALSE		-0.119710646		-3.322	-3.322	-1.249	-3.322	-3.322	-3.322
WBGene00004496	rps-27	FALSE	FALSE	FALSE	-1.169211735	-1.414100774	-1.569619854	8.903	7.721	7.712	6.301	8.211	6.65
WBGene00018975	F56E10.1	FALSE	FALSE	FALSE	-0.748504541	-0.91333008	-0.901195751	4.6	3.829	4.47	3.56	4.597	3.707
WBGene00000480	cgp-1	FALSE	FALSE	FALSE	-0.118045893	0.050391877	0.269170854	5.712	5.606	5.393	5.442	5.538	5.807
WBGene00020999	W03F9.1	FALSE	FALSE	FALSE	-0.277155618	-0.882712043	-0.709444817	5.869	5.61	5.672	4.793	5.685	4.985
WBGene00021000	W03F9.2	FALSE	FALSE	FALSE	0.128731419	-0.411287457	-0.593381689	4.005	4.126	3.635	3.217	3.816	3.226
WBGene00021004	sftb-2	FALSE	FALSE	FALSE	0.021162669	0.495834904	-0.525177661	6.25	6.273	5.909	6.404	6.09	5.572
WBGene00021001	W03F9.3	FALSE	FALSE	FALSE	1.698226675	-0.651927289	-1.028529519	-2.787	-2.584	-2.688	-3.017	-2.168	-2.892
WBGene00044512	W03F9.11	FALSE	FALSE	FALSE	1.45036985	0.758710452	-0.772499502	-2.764	-2.691	-2.327	-1.947	-2.489	-2.971
WBGene00021003	W03F9.9	FALSE	FALSE	FALSE	2.162361925	-0.156156315	-0.348546895	-3.322	-3.322	-1.822	-1.904	-1.393	-2.058
WBGene00023356	W03F9.8	FALSE	FALSE	FALSE		0.842104447	2.032558416	-3.322	-3.322	-2.822	-2.746	-3.322	-3.322
WBGene00005302	srh-81	FALSE	FALSE	FALSE	3.206614515	0.935113844	2.032527303	-3.322	-2.232	-3.046	-2.937	-3.322	-3.322
WBGene00170056	21ur-13870	FALSE	FALSE	FALSE				-3.322	-3.322	-3.322	-3.322	-3.322	-3.322
WBGene00005303	srh-82	FALSE	FALSE	FALSE	0.789813324	-1.092496007	0.580240756	-2.867	-3.322	-2.637	-3.053	-3.11	-3.322
WBGene00021002	W03F9.4	FALSE	FALSE	FALSE	0.089630397	0.689944674	0.661654414	-1.207	-0.962	-0.587	0.045	-0.368	0.083
WBGene00006648	ttb-1	FALSE	FALSE	FALSE	0.790803613	1.767887451	1.569304003	4.765	5.554	4.632	6.397	4.505	6.073
WBGene00022435	cfap-36	FALSE	FALSE	FALSE	-0.275109679	-0.767691225	-0.868228223	0.498	0.219	-0.165	-0.85	0.244	-0.562
WBGene00022434	Y108G3AL.2	FALSE	FALSE	FALSE	0.131366012	0.586924757	1.015136527	3.893	3.965	3.733	4.316	3.943	4.955
