transcript	foldChange
1	chs-1	6.94691472354786
2	lin-41	6.03251313266149
3	cpg-2	5.59673950971978
4	oma-2	4.40565292521248
5	car-1	4.04614065854655
6	mex-5	3.24803956829773
7	C04B4.2	3.16354138465146
8	nos-1	3.13247482143468
9	egg-3	2.69490190431192
10	Y37H2A.12	2.17057122578464
11	ZK666.4	1.90547355550199
12	pigv-1	1.005414091294
13	npr-35	0.674620479880514
14	nasp-2	0.491852208530727
15	R05H11.1	0.47078208015543
16	cgh-1	0.384598517390175
17	mcm-2	0.0524775580903968
18	vab-2	-0.940329941575859
19	Y19D2B.2	-1.29388107488516
