Ensembl_ID	Oma-1_042310	Oma-1_IP	Lin-41_IP	baseMean	Oma1_padj	Lin41_padj	biotype	name	external_name	mapq_effect	oma1_042310_fpkm	lysRZ_fpkm	oma1_fpkm	lin41_fpkm	gonad.baseMean	gonadLog2FoldChange	gonadPadj	oocyte_fpkm	sperm_fpkm		
WBGene00003107	3.709180765	2.974388218	8.658780009	6861.242862	1.50E-111	0.00E+00	protein_coding	mab-10	mab-10	FALSE	48.12	3.64	28.69	1483.46	103.4522141	-1.182571599	0.000532087	2.425	1.067		
WBGene00003100	4.389713939	3.903809898	7.165356828	249.367968	4.00E-30	5.57E-106	protein_coding	mab-3	mab-3	FALSE	7.69	0.32	5.07	49.16	51.72019311	3.290614896	1.00E-21	0.169	1.671		
WBGene00003015	1.152539301	0.860229343	7.096930465	1064.454245	1.79E-04	0.00E+00	protein_coding	lin-29	lin-29	FALSE	2.82	1.28	2.3	176.43	11.95144188	0.800158093	0.036107294	0.112	0.196		
WBGene00012650	1.756944284	1.820026336	6.601929801	56465.42735	5.48E-85	0.00E+00	protein_coding	orc-1	orc-1	FALSE	339.49	100.5	355.46	9817.11	3939.760099	-1.159414453	3.96E-25	76.063	34.046		
WBGene00011612	0.26230197	0.663704587	6.570945877	2215.157524	6.32E-05	0.00E+00	protein_coding	T08D2.7	T08D2.7	FALSE	7.37	6.19	9.89	598.56	217.1866099	0.608903462	0.027964084	3.629	5.532		
WBGene00011490	4.169059185	3.828736921	6.542254629	10745.52593	0.00E+00	0.00E+00	protein_coding	T05F1.4	T05F1.4	FALSE	769.29	42.7	609.48	4006.07	1804.071024	-0.724568258	3.23E-15	79.944	48.398		
WBGene00015899	4.691917747	4.376475733	6.48517361	27294.31366	0.00E+00	0.00E+00	protein_coding	C17E7.4	C17E7.4	FALSE	1883.23	72.82	1517.67	6556.47	1055.561631	-8.40836262	1.41E-216	53.044	0.157		
WBGene00017563	3.677343199	3.350160444	6.476143885	4110.540461	7.15E-135	0.00E+00	protein_coding	F18C5.10	F18C5.10	FALSE	137.34	10.78	110.19	966.43	269.0817741	-1.304884329	4.43E-08	8.166	3.306		
WBGene00011642	3.092699377	2.797084169	6.397917426	6594.976274	8.69E-158	0.00E+00	protein_coding	T09B9.1	T09B9.1	FALSE	141.05	16.49	115	1399.8	527.7543133	-7.555812026	6.37E-27	19.336	0.099		
WBGene00044758	3.908674373	3.699693725	6.33186701	1620.54401	1.36E-149	0.00E+00	protein_coding	Y37H2A.12	Y37H2A.12	FALSE	115.63	7.62	100.33	624	942.9391032	0.1587446	0.178364819	32.875	36.703		
WBGene00004984	1.222188888	1.17164089	6.214093667	180441.0936	8.47E-39	0.00E+00	protein_coding	spn-4	spn-4	FALSE	1349.03	578.99	1305.56	43194.44	22127.29091	-2.584042917	8.38E-46	731.093	121.78		
WBGene00007902	0.760848482	2.447685961	6.120161048	11.07177607	4.05E-02	2.80E-09	pseudogene		C33D9.9	FALSE	0.08	0.02	0.22	3.45	0.505342213	-0.624768754	0.720224795	0.017	0.009		
WBGene00000388	5.731366743	5.125417146	6.076521441	14805.40808	0.00E+00	0.00E+00	protein_coding	cdc-25.3	cdc-25.3	FALSE	2210.24	41.52	1456.49	2817.93	567.1774442	-9.027209879	2.49E-113	31.408	0.059		
WBGene00021087	6.777124875	6.700697416	5.990858449	61.84826273	8.09E-23	4.10E-18	protein_coding	W08E12.6	W08E12.6	FALSE	22.03	0.08	16.34	9.91	6.827476785	-0.032621845	0.954057581	0.314	0.313		
WBGene00007391	2.375916126	2.091918719	5.975498934	5704.990589	1.08E-71	0.00E+00	protein_coding	C06H2.7	C06H2.7	FALSE	123.58	23.88	101.9	1510.8	370.9509775	-6.677467225	3.68E-91	16.793	0.164		
WBGene00016987	2.32754043	2.24453886	5.909660054	5178.25092	9.63E-104	0.00E+00	protein_coding	CC8.2	CC8.2	FALSE	92.68	18.42	87.5	1113.43	396.1108542	-4.187671604	5.17E-42	14.006	0.764		
WBGene00016939	4.189910641	3.637988006	5.85513479	5956.176865	1.61E-272	0.00E+00	protein_coding	C55B6.1	C55B6.1	FALSE	268.79	14.71	183.57	855.21	271.6037144	-4.859295443	1.03E-21	7.957	0.267		
WBGene00017742	5.642365358	5.221970279	5.704881213	11309.18922	0.00E+00	0.00E+00	protein_coding	nfyc-1	nfyc-1	FALSE	2139.08	42.74	1604.24	2242.94	1643.948706	-0.409848696	0.000396623	62.248	46.872		
WBGene00008825	4.850177788	4.275825051	5.700833127	60022.7427	0.00E+00	0.00E+00	protein_coding	F14H3.6	F14H3.6	FALSE	7510.75	260.33	5057.79	13594.15	3826.922842	-3.951198645	1.46E-36	206.015	13.253		
WBGene00013122	5.893190951	5.533066106	5.644761956	8520.121086	0.00E+00	0.00E+00	protein_coding	impt-1	impt-1	FALSE	1761.76	29.64	1384.26	1495.81	889.593192	-1.688941286	1.83E-46	45.88	14.242		
WBGene00011228	2.529284914	2.22939626	5.632780664	179.3937836	1.76E-12	1.57E-84	protein_coding	R11.3	R11.3	FALSE	4.41	0.73	3.47	37.3	17.93220588	-6.69110396	2.09E-18	0.667	0.005		
WBGene00011435	4.983377654	4.454906955	5.629139278	347.1768624	9.58E-80	9.70E-129	protein_coding	T04D3.8	T04D3.8	FALSE	116.78	3.49	78.99	178.83	364.4703925	-0.314195756	0.022146908	28	22.527		
WBGene00185089	4.064300356	4.028428227	5.610927665	1502.011818	2.36E-193	0.00E+00	protein_coding	C16A11.10	C16A11.10	FALSE	89.79	5.33	88.07	264.29	521.0222836	0.687135475	1.56E-07	8.14	13.128		
WBGene00009606	4.427020035	4.19060642	5.599574024	10423.00085	0.00E+00	0.00E+00	protein_coding	F40G12.11	F40G12.11	FALSE	788.24	36.78	675.83	1797.35	916.6223764	-7.245402598	2.19E-252	38.515	0.258		
WBGene00021648	2.005862773	1.557655765	5.585609892	4692.371666	2.51E-52	0.00E+00	protein_coding	mis-12	mis-12	FALSE	162.6	40.41	119.17	1950.64	1244.496531	0.609940671	0.000419454	35.159	53.694		
WBGene00011033	3.804940583	3.635345934	5.531885408	3886.359068	2.50E-154	0.00E+00	protein_coding	R05D11.5	R05D11.5	FALSE	493.15	35.61	446.98	1669.34	1336.862091	0.024784975	0.873700544	62.058	63.151		
WBGene00019244	5.911037905	5.342384848	5.445850608	5120.402554	0.00E+00	0.00E+00	protein_coding	H25P19.1	H25P19.1	FALSE	861.52	14.3	585.78	629.43	781.8618881	-1.979420252	7.84E-41	30.787	7.802		
WBGene00013137	3.254305386	3.120740946	5.414270067	6762.055546	5.89E-218	0.00E+00	protein_coding	Y53C10A.6	Y53C10A.6	FALSE	353.23	37	323.13	1587.24	1567.962507	-1.418707785	1.81E-39	54.91	20.537		
WBGene00021546	1.970636169	1.885726767	5.377908688	6068.011534	2.08E-86	0.00E+00	protein_coding	laat-1	laat-1	FALSE	154.69	39.42	145.88	1645.96	1793.648148	-2.476371274	5.87E-46	74.373	13.352		
WBGene00018828	6.255351999	5.902517261	5.352507383	354.693696	6.31E-112	2.35E-90	protein_coding	sdz-21	sdz-21	FALSE	67.62	0.81	50.9	34.73	6.732596205	-5.604144698	1.11E-08	0.342	0.004		
WBGene00012982	4.595999361	4.220830595	5.330970558	20063.22397	0.00E+00	0.00E+00	protein_coding	jmjd-2	jmjd-2	FALSE	843.02	34.93	654.42	1414.15	1025.240493	-1.312138639	5.25E-07	14.072	5.661		
WBGene00006977	5.929255821	5.251027093	5.272734441	55958.78591	0.00E+00	0.00E+00	protein_coding	zif-1	zif-1	FALSE	6927.08	113.65	4344.25	4410.17	3399.734149	-2.487634954	4.72E-53	96.849	17.256		
WBGene00008404	4.590657335	3.847969586	5.262282428	5840.827161	0.00E+00	0.00E+00	protein_coding	D2013.6	D2013.6	FALSE	696.33	28.87	417.99	1115.46	1138.578828	0.453806585	0.003415418	23.989	32.867		
WBGene00015336	2.967462419	1.554154196	5.26088778	155.5279015	1.15E-05	8.03E-64	protein_coding	C02D5.2	C02D5.2	FALSE	8.37	1.06	3.12	41.84	21.85647775	0.962546905	0.000880707	0.371	0.725		
WBGene00014044	5.503272739	4.633176369	5.260417516	46.12444197	1.18E-14	1.29E-18	protein_coding	ZK666.4	ZK666.4	FALSE	25.42	0.36	11.25	17.55	2.711917537	-4.717505476	2.10E-07	0.371	0		
WBGene00017263	6.023175419	5.467060006	5.250632068	28355.8882	0.00E+00	0.00E+00	protein_coding	F08F3.6	F08F3.6	FALSE	4685.18	72.03	3201.32	2754.9	1412.927335	-8.785499547	8.08E-233	62.892	0.148		
WBGene00011615	5.948916623	5.442524776	5.237101396	9703.191717	0.00E+00	0.00E+00	protein_coding	lsd-1	lsd-1	FALSE	844.17	13.64	596.89	517.58	373.0679186	-5.809617915	9.94E-122	8.902	0.158		
