"SYMBOL","ENTREZID"
"C14C6.5","178574"
"Y119D3B.21","246006"
"F44E5.4","174805"
"ret-1","179981"
"nurf-1","175098"
"asp-1","180251"
"hmg-1.1","175081"
"lec-9","181786"
"cey-1","174690"
"cpi-2","178992"
"ctsa-1.2","174802"
"manf-1","177074"
"nol-58","171901"
"pdi-1","175472"
"htz-1","177212"
"epc-1","176679"
"cpt-1","174912"
"F56A8.3","176740"
"F07H5.13","174406"
"swsn-4","178015"
"pfd-6","172474"
"epg-2","171787"
"calu-1","180769"
"dohh-1","3565578"
"hrpa-1","177101"
"hel-1","174333"
"T09B4.5","172300"
"let-418","178970"
"stt-3","175886"
"pdi-2","180724"
"plp-1","177540"
"lin-40","178788"
"egl-30","171751"
"arf-1","175801"
"mdt-26","173960"
"F13C5.2","180410"
"snr-5","176103"
"rpb-6","174630"
"T23G7.3","174456"
"sel-9","179213"
"T24B8.3","174444"
"cap-2","174673"
"cyn-3","180028"
"hrpr-1","173086"
"F53E2.2","41657006"
"snu-66","179140"
"ubq-1","175840"
"mbk-2","178250"
"C49H3.3","177582"
"his-72","176660"
"lgg-1","174050"
"hil-2","177390"
"his-24","181545"
"zipt-7.2","181640"
"sup-26","175551"
"cec-5","177537"
"F27C1.2","172196"
"cec-1","176190"
"ccar-1","178362"
"cnx-1","176390"
"snr-7","171834"
"selt-1.1","181343"
"smo-1","266820"
"attf-2","179106"
"ssb-1","172070"
"B0511.6","172954"
"trap-2","180422"
"asp-3","180947"
"rbm-3.2","173071"
"erd-2.1","181228"
"hmg-1.2","175890"
"eri-12","178166"
"erd-2.2","175833"
"rpb-12","184886"
"lbp-1","180616"
"chdp-1","172326"
"nucl-1","177621"
"F10E7.5","174168"
"ostd-1","172208"
"clec-266","180932"
"nova-1","180183"
"mab-20","171727"
"yop-1","171835"
"mix-1","174669"
"EEED8.2","173923"
"rsp-3","176688"
"B0416.5","181158"
"top-1","266847"
"dpm-3","178189"
"gpb-1","174803"
"nbet-1","259570"
"F20C5.6","177687"
"prp-8","176153"
"H06I04.3","175414"
"snr-1","178483"
"C18E9.2","174429"
"myrf-2","181229"
"hsp-4","174203"
"F52A8.1","172482"
"rsp-6","177566"
"pfd-1","178021"
"T10B5.3","178667"
"pfd-5","176013"
"dnj-29","173278"
"dao-5","266845"
"snr-6","176668"
"W04A8.4","173253"
"F46H5.3","180986"
"kin-3","172978"
"lit-1","176808"
"snr-3","174072"
"larp-1","175680"
"bet-1","172054"
"fkb-6","180371"
"fubl-1","179423"
"fust-1","174175"
"rsp-2","174747"
"Y43F8C.7","180286"
"unc-70","179077"
"lam-1","177292"
"vps-20","171654"
"F30A10.9","172780"
"dpy-22","181194"
"swsn-9","172461"
"his-62","186326"
"snr-2","173204"
"K10B2.4","174054"
"ahsa-1","180017"
"tomm-20","179691"
"lam-2","180980"
"lgg-2","177989"
"C25A1.16","6418573"
"pqn-59","266819"
"pqn-87","174861"
"catp-8","178070"
"his-37","179341"
"flcn-1","174134"
"tba-2","173167"
"hsp-16.2","178659"
"his-64","178066"
"inx-3","180866"
"cbp-1","176380"
"goa-1","172505"
"emc-1","173524"
"acdh-7","181758"
"pdi-6","180974"
"xnp-1","172077"
"nst-1","174329"
"sel-2","175606"
"imp-2","178013"
"C16A3.6","175903"
"atz-1","178186"
"cup-2","172915"
"rsp-4","173915"
"aqp-10","174537"
"ntl-2","173773"
"chc-1","176434"
"lam-3","172952"
"let-60","178104"
"prmt-1","180326"
"fib-1","179999"
"dib-1","24105155"
"tbb-1","176501"
"Y43F8B.2","180278"
"F18A11.3","174946"
"C17E4.20","13181457"
"arx-6","175650"
"mps-2","173419"
"crld-1","178267"
"act-5","176793"
"C18A3.3","173968"
"snu-13","174645"
"F53F4.11","179849"
"egl-27","174121"
"cct-5","175588"
"spc-1","180603"
"inx-2","181318"
"snr-4","179639"
"C14B9.2","176147"
"T20F10.2","172897"
"Y48A6B.3","176531"
"ubr-4","172068"
"rho-1","178458"
"Y94H6A.5","177054"
"T26E3.4","173136"
"spp-5","180994"
"tiar-1","173967"
"flwr-1","181591"
"riok-1","171883"
"afd-1","171776"
"lsm-5","180047"
"hsp-16.41","178660"
"F52G3.1","181741"
"nol-56","179442"
"uaf-2","178489"
"pan-1","175596"
"Y48G8AL.13","171699"
"T05H4.11","179024"
"cct-4","174330"
"atg-2","180949"
"act-4","180767"
"mnk-1","174623"
"pfd-3","173141"
"his-60","177522"
"skr-1","172775"
"utp-20","174080"
"R02F2.1","175757"
"eef-1A.2","181044"
"lin-28","172626"
"dnj-13","3564910"
"ent-2","181648"
"iff-1","176373"
"F56H9.2","179730"
"lsm-7","177988"
"drr-2","259546"
"ada-2","174194"
"ctr-9","176335"
"serp-1.2","259582"
"lact-4","174356"
"sup-37","179257"
"mag-1","173073"
"twf-2","181711"
"ain-2","172076"
"sec-61.A","178407"
"tres-1","172287"
"atf-7","175587"
"ZK899.2","181171"
"paa-1","175750"
"gst-4","177886"
"hsp-3","180880"
"pha-4","180357"
"ama-1","177190"
"mtm-3","175490"
"pno-1","174534"
"F58D5.5","186499"
"mep-1","178074"
"cdc-14","173945"
"rnp-4","175572"
"cyn-5","173374"
"gdi-1","178402"
"hsp-110","176195"
"prcc-1","178257"
"D2005.3","183935"
"moag-4","171764"
"guk-1","171963"
"T28D9.1","174074"
"ZK484.3","266835"
"ech-1.2","172310"
"mek-5","172405"
"cks-1","177658"
"ncbp-2","184953"
"ddp-1","175331"
"znf-593","176624"
"F33H2.3","173372"
"F49C12.11","177756"
"snrp-3","177674"
"nra-2","172803"
"C37A2.8","172404"
"mrp-5","181587"
"T28F4.1","172501"
"C35E7.5","172989"
"F23B12.7","179947"
"nhr-49","172839"
"let-716","175906"
"erh-1","179476"
"sph-1","177608"
"smu-2","173693"
"tlk-1","176369"
"chch-3","174494"
"bath-38","174567"
"ttyh-1","181328"
"let-92","178117"
"B0228.6","174251"
"F53C11.4","179873"
"rbm-3.1","173070"
"T24G10.2","175747"
"cyn-8","181136"
"T25G3.3","3565801"
"xpo-1","179160"
"hpk-1","180695"
"aqp-11","191343"
"ain-1","181719"
"snrp-200","174901"
"C08F8.9","259594"
"met-1","172026"
"hmg-4","176052"
"ubc-3","171734"
"H28G03.2","180790"
"aly-3","178157"
"ned-8","172910"
"hsp-16.11","179289"
"mboa-6","175339"
"dnj-7","180983"
"K12H6.6","173629"
"epn-1","181577"
"C29E4.12","259333"
"F07E5.5","173564"
"arl-8","178405"
"gpd-2","3565504"
"C37H5.5","178874"
"gtbp-1","177880"
"wdr-12","172226"
"wnk-1","177743"
"tads-1","173206"
"pccb-1","180596"
"Y76B12C.3","176999"
"T04D3.5","173201"
"din-1","174782"
"sto-1","181017"
"eif-3.G","174346"
"cwn-2","177870"
"K07F5.15","36805026"
"nduf-9","175429"
"K04C2.2","175960"
"cyb-3","180040"
"rbm-28","175145"
"F44E5.5","174806"
"C16H3.3","181787"
"pbrm-1","172504"
"hmp-1","179624"
"puf-9","180850"
"lin-66","178354"
"ubc-25","172941"
"mrps-24","259579"
"rme-1","179010"
"rpl-41.1","172094"
"rpb-10","171763"
