"gene","cluster"
"178574","0"
"246006","0"
"174805","0"
"179981","0"
"175098","0"
"180251","0"
"175081","0"
"181786","0"
"174690","0"
"178992","0"
"174802","0"
"177074","0"
"171901","0"
"175472","0"
"177212","0"
"176679","0"
"174912","0"
"176740","0"
"174406","0"
"178015","0"
"172474","0"
"171787","0"
"180769","0"
"3565578","0"
"177101","0"
"174333","0"
"172300","0"
"178970","0"
"175886","0"
"180724","0"
"177540","0"
"178788","0"
"171751","0"
"175801","0"
"173960","0"
"180410","0"
"176103","0"
"174630","0"
"174456","0"
"179213","0"
"174444","0"
"174673","0"
"180028","0"
"173086","0"
"41657006","0"
"179140","0"
"175840","0"
"178250","0"
"177582","0"
"176660","0"
"174050","0"
"177390","0"
"181545","0"
"181640","0"
"175551","0"
"177537","0"
"172196","0"
"176190","0"
"178362","0"
"176390","0"
"171834","0"
"181343","0"
"266820","0"
"179106","0"
"172070","0"
"172954","0"
"180422","0"
"180947","0"
"173071","0"
"181228","0"
"175890","0"
"178166","0"
"175833","0"
"184886","0"
"180616","0"
"172326","0"
"177621","0"
"174168","0"
"172208","0"
"180932","0"
"180183","0"
"171727","0"
"171835","0"
"174669","0"
"173923","0"
"176688","0"
"181158","0"
"266847","0"
"178189","0"
"174803","0"
"259570","0"
"177687","0"
"176153","0"
"175414","0"
"178483","0"
"174429","0"
"181229","0"
"174203","0"
"172482","0"
"177566","0"
"178021","0"
"178667","0"
"176013","0"
"173278","0"
"266845","0"
"176668","0"
"173253","0"
"180986","0"
"172978","0"
"176808","0"
"174072","0"
"175680","0"
"172054","0"
"180371","0"
"179423","0"
"174175","0"
"174747","0"
"180286","0"
"179077","0"
"177292","0"
"171654","0"
"172780","0"
"181194","0"
"172461","0"
"186326","0"
"173204","0"
"174054","0"
"180017","0"
"179691","0"
"180980","0"
"177989","0"
"6418573","0"
"266819","0"
"174861","0"
"178070","0"
"179341","0"
"174134","0"
"173167","0"
"178659","0"
"178066","0"
"180866","0"
"176380","0"
"172505","0"
"173524","0"
"181758","0"
"180974","0"
"172077","0"
"174329","0"
"175606","0"
"178013","0"
"175903","0"
"178186","0"
"172915","0"
"173915","0"
"174537","0"
"173773","0"
"176434","0"
"172952","0"
"178104","0"
"180326","0"
"179999","0"
"24105155","0"
"176501","0"
"180278","0"
"174946","0"
"13181457","0"
"175650","0"
"173419","0"
"178267","0"
"176793","0"
"173968","0"
"174645","0"
"179849","0"
"174121","0"
"175588","0"
"180603","0"
"181318","0"
"179639","0"
"176147","0"
"172897","0"
"176531","0"
"172068","0"
"178458","0"
"177054","0"
"173136","0"
"180994","0"
"173967","0"
"181591","0"
"171883","0"
"171776","0"
"180047","0"
"178660","0"
"181741","0"
"179442","0"
"178489","0"
"175596","0"
"171699","0"
"179024","0"
"174330","0"
"180949","0"
"180767","0"
"174623","0"
"173141","0"
"177522","0"
"172775","0"
"174080","0"
"175757","0"
"181044","0"
"172626","0"
"3564910","0"
"181648","0"
"176373","0"
"179730","0"
"177988","0"
"259546","0"
"174194","0"
"176335","0"
"259582","0"
"174356","0"
"179257","0"
"173073","0"
"181711","0"
"172076","0"
"178407","0"
"172287","0"
"175587","0"
"181171","0"
"175750","0"
"177886","0"
"180880","0"
"180357","0"
"177190","0"
"175490","0"
"174534","0"
"186499","0"
"178074","0"
"173945","0"
"175572","0"
"173374","0"
"178402","0"
"176195","0"
"178257","0"
"183935","0"
"171764","0"
"171963","0"
"174074","0"
"266835","0"
"172310","0"
"172405","0"
"177658","0"
"184953","0"
"175331","0"
"176624","0"
"173372","0"
"177756","0"
"177674","0"
"172803","0"
"172404","0"
"181587","0"
"172501","0"
"172989","0"
"179947","0"
"172839","0"
"175906","0"
"179476","0"
"177608","0"
"173693","0"
"176369","0"
"174494","0"
"174567","0"
"181328","0"
"178117","0"
"174251","0"
"179873","0"
"173070","0"
"175747","0"
"181136","0"
"3565801","0"
"179160","0"
"180695","0"
"191343","0"
"181719","0"
"174901","0"
"259594","0"
"172026","0"
"176052","0"
"171734","0"
"180790","0"
"178157","0"
"172910","0"
"179289","0"
"175339","0"
"180983","0"
"173629","0"
"181577","0"
"259333","0"
"173564","0"
"178405","0"
"3565504","0"
"178874","0"
"177880","0"
"172226","0"
"177743","0"
"173206","0"
"180596","0"
"176999","0"
"173201","0"
"174782","0"
"181017","0"
"174346","0"
"177870","0"
"36805026","0"
"175429","0"
"175960","0"
"180040","0"
"175145","0"
"174806","0"
"181787","0"
"172504","0"
"179624","0"
"180850","0"
"178354","0"
"172941","0"
"259579","0"
"179010","0"
"172094","0"
"171763","0"
"175525","0"
"191667","0"
"179290","0"
"259585","0"
"176702","0"
"181259","0"
"36805066","0"
"180569","0"
"175621","0"
"179267","0"
"178092","0"
"179828","0"
"175765","0"
"177853","0"
"3565419","0"
"178229","0"
"174748","0"
"176024","0"
"259704","0"
"174208","0"
"181257","0"
"174591","0"
"179920","0"
"175651","0"
"3565041","0"
"175133","0"
"173973","0"
"182243","0"
"174646","0"
"176296","0"
"172394","0"
"177043","0"
"171857","0"
"175571","0"
"172412","0"
"181167","0"
"176257","0"
"184827","0"
"175494","0"
"181480","0"
"175852","0"
"174904","0"
"176040","0"
"172976","0"
"181682","0"
"174860","0"
"173467","0"
"176293","0"
"176328","0"
"175900","0"
"175614","0"
"180069","0"
"186325","0"
"177637","0"
"179028","0"
"179064","0"
"178587","0"
"178507","0"
"179233","0"
"3565440","0"
"178300","0"
"173812","0"
"175335","0"
"178088","0"
"181244","0"
"177934","0"
"178141","0"
"179388","0"
"176983","0"
"176925","0"
"179345","0"
"178542","0"
"175090","0"
"191277","0"
"173645","0"
"174342","0"
"181292","0"
"178851","0"
"176063","0"
"178014","0"
"172720","0"
"175233","0"
"178208","0"
"180176","0"
"181019","0"
"174894","0"
"182492","0"
"3565070","0"
"178415","0"
"177820","0"
"172041","0"
"173007","0"
"173638","0"
"173203","0"
"175851","0"
"3565545","0"
"174478","0"
"181507","0"
"181344","0"
"172406","0"
"174808","0"
"176321","0"
"172223","0"
"173779","0"
"3565610","0"
"179198","0"
"181690","0"
"179481","0"
"174159","0"
"172599","0"
"179312","0"
"181718","0"
"177956","0"
"175918","0"
"175504","0"
"178981","0"
"246012","0"
"174434","0"
"174341","0"
"174825","0"
"172555","0"
"179552","0"
"174209","0"
"175971","0"
"176175","0"
"175677","0"
"178747","0"
"174996","0"
"176559","0"
"178185","0"
"177628","0"
"178942","0"
"171636","0"
"176944","0"
"171886","0"
"171736","0"
"171797","0"
"176661","0"
"174307","0"
"179533","0"
"36805063","0"
"177815","0"
"176752","0"
"177232","0"
"174364","0"
"176343","0"
"171995","0"
"174193","0"
"179486","0"
"3565298","0"
"179534","0"
"181421","0"
"175590","0"
"171643","0"
"179783","0"
"6418677","0"
"54162166","0"
"173158","0"
"180070","0"
"171784","0"
"176003","0"
"172278","0"
"181358","0"
"174028","0"
"176922","0"
"176680","0"
"179656","0"
"172770","0"
"177926","0"
"176176","0"
"178143","0"
"189705","0"
"173549","0"
"172831","0"
"174232","0"
"172443","0"
"172687","0"
"174286","0"
"172262","0"
"174665","0"
"172319","0"
"188368","0"
"177352","0"
"173111","0"
"171892","0"
"172274","0"
"176150","0"
"175783","0"
"175610","0"
"179833","0"
"172623","0"
"175819","0"
"178937","0"
"178617","0"
"187255","0"
"175534","0"
"180039","0"
"177761","0"
"174254","0"
"178140","0"
"173920","0"
"174624","0"
"176363","0"
"172847","0"
"172802","0"
"172676","0"
"177770","0"
"177697","0"
"259621","0"
"182648","0"
"24104671","0"
"171682","0"
"172139","0"
"176045","0"
"178097","0"
"172350","0"
"174523","0"
"191668","0"
"175947","0"
"183993","0"
"180455","0"
"176565","0"
"176239","0"
"174247","0"
"13187936","0"
"179855","0"
"172814","0"
"178661","0"
"174252","0"
"173322","0"
"179443","0"
"176163","0"
"184804","0"
"174905","0"
"191669","0"
"177452","0"
"171743","0"
"171849","0"
"177915","0"
"173924","0"
"177419","0"
"177837","0"
"173734","0"
"184304","0"
"176362","0"
"172030","0"
"171935","0"
"172829","0"
"171807","0"
"172182","0"
"172116","0"
"179972","0"
"179912","0"
"174516","0"
"175583","0"
"173304","0"
"172752","0"
"174260","0"
"179959","0"
"181319","0"
"176279","0"
"173449","0"
"191130","0"
"181026","0"
"175560","0"
"175673","0"
"185872","0"
"3565661","0"
"175699","0"
"179114","0"
"175069","0"
"180941","0"
"176292","0"
"172945","0"
"173427","0"
"174022","0"
"174153","0"
"176205","0"
"181917","0"
"175972","0"
"177744","0"
"177924","0"
"179042","0"
"174380","0"
"177902","0"
"6418857","0"
"179762","0"
"180486","0"
"172330","0"
"179643","0"
"187843","0"
"172661","0"
"175634","0"
"13197147","0"
"172301","0"
"173848","0"
"176907","0"
"173978","0"
"178506","0"
"172704","0"
"3565341","0"
"175492","0"
"179033","0"
"177797","0"
"171633","0"
"178887","0"
"181223","0"
"175730","0"
"179115","0"
"172432","0"
"190137","0"
"174659","0"
"176180","0"
"180705","0"
"176251","0"
"174038","0"
"181566","0"
"174589","0"
"173537","0"
"174122","0"
"177283","0"
"176943","0"
"179275","0"
"176958","0"
"259501","0"
"177040","0"
"173299","0"
"173863","0"
"182681","0"
"173517","0"
"171922","0"
"178081","0"
"183243","0"
"173193","0"
"179162","0"
"176078","0"
"177509","0"
"179246","0"
"179212","0"
"191744","0"
"178979","0"
"173926","0"
"175129","0"
"173217","0"
"180073","0"
"173701","0"
"173333","0"
"180976","0"
"175555","0"
"173257","0"
"172514","0"
"177990","0"
"172064","0"
"171752","0"
"178184","0"
"175844","0"
"180628","0"
"174975","0"
"174473","0"
"173894","0"
"177398","0"
"180749","0"
"176196","0"
"181097","0"
"174914","0"
"173696","0"
"266836","0"
"179853","0"
"173468","0"
"184450","0"
"174270","0"
"173365","0"
"181248","0"
"180074","0"
"172233","0"
"177521","0"
"177824","0"
"175838","0"
"259329","0"
"184677","0"
"171829","0"
"173500","0"
"181153","0"
"179770","0"
"178108","0"
"3565206","0"
"178482","0"
"172597","0"
"178847","0"
"176957","0"
"175393","0"
"179898","0"
"175556","0"
"178346","0"
"173836","0"
"175861","0"
"179324","0"
"172680","0"
"174685","0"
"175056","0"
"179361","0"
"171988","0"
"177215","0"
"177213","0"
