AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
2L52.1	2.716	2.934	0.072	10.636	0	6.1475	0.81	0	0	0.21	21.2991666666667	0.142	0	0	0.125	0	0.5	0	31.4083333333333	52.306	18.578	0	0.642	2.168	22.378	2.268	33.89
2RSSE.1	3.976	4.418	0	1.551	0	0	0	0	0	0	0	0	0	0	4.53833333333333	8.626	1.712	0.655	0	0.21	3.612	0	0.418	0.624	0	6.386	0
2RSSE.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.726	0	0	0
42461	113.248	127.334	111.236	19.863	59.438	51.6533333333333	156.842	104.948	70.5863636363636	90.356	24.0308333333333	27.478	49.968	18.9416666666667	3.9	34.68	132.292	47.31	82.0766666666667	83.206	76.584	22.3242857142857	91.402	96.4	71.118	43.656	44.3083333333333
42614	40.948	52.396	58.16	27.975	28.472	10.2441666666667	44.376	40.006	17.0772727272727	55.842	2.7425	3.234	0	0.0483333333333333	32.975	30.658	29.734	0.0375	0	59.772	0	4.82	20.698	22.402	23.88	23.228	0.178333333333333
6R55.2	0	0	0	17	0	4.92916666666667	0	17	35.5127272727273	0	45.1925	1.228	4.686	22.525	0	0	0	0	0	0	8.038	0.488571428571429	0	0	0	0	0
AC8.5	0	0	0	0	0	0.2475	0	0.604	0	0	14.1808333333333	0	2.162	0	0.381666666666667	0	0	0	0	0	0	0	0	0	0	0	0
AC8.7	0	0	0	3.637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AH10.2	0	0.066	0	0	0.154	0	5.554	0.442	0	0	0	74.772	0	0.683333333333333	0	250.62	362.662	0	77.3383333333333	136.704	0	0.252857142857143	0	0	0	0.22	0
AH9.1	0	0	0	0.095	0	0	0	0	4.42545454545455	0	0	0	0	0	0	0	0	11.5075	7.695	0.852	0	0	1.412	0.29	0.106	0	0
AH9.3	55.68	73.892	63.804	90.902	79.726	91.56	57.196	93.786	49.9409090909091	195.774	101.0375	19.066	35.024	15.9466666666667	41.1516666666667	89.14	46.234	10.345	75.1583333333333	81.916	34.548	197.562857142857	69.732	47.16	43.804	24.096	92.0216666666667
AH9.6	0	0	0	3.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0001.11	0	0	0	0	0	0	25.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0001.2	79.566	16.94	0.266	5.279	1.002	1.24333333333333	15.884	15.504	10.6427272727273	0.132	12.9266666666667	68.684	22.432	0.638333333333333	121.178333333333	15.632	75.572	1.1375	33.785	1.966	18.9	30.8414285714286	128.314	173.388	151.882	86.408	60.4716666666667
B0001.3	44.374	30.006	10.81	9.011	46.934	33.7441666666667	27.552	6.12	2.98545454545455	8.164	59.4658333333333	5.008	3.326	7.11833333333333	3.31666666666667	8.156	29.196	0.13	0.178333333333333	61.428	28.226	1.45285714285714	18.29	28.654	21.556	27.19	24.8966666666667
B0001.4	106.358	104.64	105.438	14.739	59.496	49.3683333333333	111.59	40.994	9.34636363636364	86.322	30.2816666666667	192.85	39.802	69.43	125.746666666667	109.906	77.754	0	0.396666666666667	129.096	0.554	31.6014285714286	129.892	99.342	116.166	99.722	118.595
B0001.5	55.442	54.454	23.148	27.486	37.968	53.405	50.83	46.154	32.4972727272727	98.54	25.8491666666667	62.932	65.696	42.29	3.44	2.088	46.946	2.8525	10.43	28.982	9.976	12.85	35.516	38.112	13.386	27.21	6.25833333333333
