Sequence_Name	WormBase_Gene_ID	Public_Name	Other_Name	cluster_set	RBP_assoc
2L52.1	WBGene00007063	2L52.1	CELE_2L52.1	1	NA
2RSSE.1	WBGene00007064	rga-9	CELE_2RSSE.1	2	NA
2RSSE.6	WBGene00199694	2RSSE.6	CELE_2RSSE.6	2	NA
42461	NA	NA	NA	3	NA
42614	NA	NA	NA	3	NA
6R55.2	NA	NA	NA	1	NA
AC8.5	WBGene00007077	AC8.5	CELE_AC8.5	2	NA
AC8.7	WBGene00007079	AC8.7	CELE_AC8.7	2	NA
AH10.2	WBGene00007083	AH10.2	CELE_AH10.2	4	other_RBP
AH9.1	WBGene00014998	AH9.1	CELE_AH9.1	2	NA
AH9.3	WBGene00014999	AH9.3	CELE_AH9.3	4	NA
AH9.6	WBGene00044701	AH9.6	CELE_AH9.6	2	NA
B0001.11	WBGene00197796	B0001.11	CELE_B0001.11	2	NA
B0001.2	WBGene00007087	B0001.2	CELE_B0001.2	5	NA
B0001.3	WBGene00007088	B0001.3	CELE_B0001.3	3	NA
B0001.4	WBGene00007089	B0001.4	CELE_B0001.4	5	other_RBP
B0001.5	WBGene00007090	B0001.5	CELE_B0001.5	1	NA
B0001.6	WBGene00007091	eri-12	CELE_B0001.6	1	other_RBP
B0001.7	WBGene00007092	B0001.7	CELE_B0001.7	3	NA
B0001.8	WBGene00007093	B0001.8	CELE_B0001.8	1	NA
B0019.2	WBGene00007094	B0019.2	CELE_B0019.2	5	NA
B0024.10	WBGene00007100	asps-1	CELE_B0024.10	3	NA
B0024.11	WBGene00007101	B0024.11	CELE_B0024.11	5	NA
B0024.13	WBGene00007102	srdf-3	CELE_B0024.13	3	SPN4
B0024.3	WBGene00007096	B0024.3	CELE_B0024.3	2	NA
B0025.4	WBGene00015001	B0025.4	CELE_B0025.4	3	other_RBP
B0025.5	WBGene00194700	B0025.5	CELE_B0025.5	2	NA
B0034.14	WBGene00200211	B0034.14	CELE_B0034.14	2	NA
B0034.5	WBGene00015005	B0034.5	CELE_B0034.5	2	other_RBP
B0035.1	WBGene00007105	znf-207	bugz-1,	1	SPN4
B0035.11	WBGene00007110	leo-1	CELE_B0035.11	3	NA
B0035.12	WBGene00007111	sart-3	CELE_B0035.12	3	NA
B0035.15	WBGene00007113	B0035.15	CELE_B0035.15	3	other_RBP
B0035.16	WBGene00007114	mttu-1	CELE_B0035.16	5	other_RBP
B0035.18	WBGene00044290	B0035.18	CELE_B0035.18	4	other_RBP
B0035.19	WBGene00196590	B0035.19	CELE_B0035.19	2	NA
B0035.3	WBGene00007106	B0035.3	CELE_B0035.3	5	SPN4
