ImageID	label	perimeter	major_axis_length	minor_axis_length
230521_N2_01	P1	875.5950212	306.4911106	185.9879078
230521_N2_01	AB	1009.435642	322.1180593	262.1105908
230521_N2_03	P1	813.920923	258.1622019	216.2771876
230521_N2_03	AB	979.5605333	291.6551075	263.8666582
230521_N2_04	AB	866.5067094	262.2477111	242.3268165
230521_N2_04	P1	662.884343	197.5686805	169.9624561
230521_N2_05	ABa	700.3401872	235.5596813	160.4049989
230521_N2_05	EMS	632.7005769	220.3183463	144.6450516
230521_N2_05	ABp	674.156421	207.6806588	167.8507117
230521_N2_05	P2	575.3279938	191.5795382	131.5967663
230521_N2_06	ABa	629.5706345	225.4251807	141.0141167
230521_N2_06	EMS	576.8132752	197.8896154	135.302114
230521_N2_06	ABp	632.3158005	185.6673044	155.2055632
230521_N2_06	P2	546.9432175	204.1459931	106.717638
230521_N2_07	AB	953.394011	294.855931	230.0527761
230521_N2_07	P1	804.3818177	263.6484091	201.7380441
230521_N2_08	P2	547.2213921	185.75705	131.1223278
230521_N2_08	EMS	652.5533906	213.9815648	151.7533656
230521_N2_08	ABa	703.3523805	236.6307986	173.8527852
230521_N2_08	ABp	681.9442636	223.8734932	145.7782942
230521_N2_10	AB	1150.844805	281.6614869	235.7897087
230521_N2_10	P1	715.9970414	227.7677554	199.5254354
230521_N2_11	ABa	634.1980515	226.425566	138.7324398
230521_N2_11	ABp	724.6072145	230.8789081	162.322069
230521_N2_11	EMS	580.8132752	187.5768203	143.9886799
230521_N2_11	P2	665.2102448	210.9416858	150.7075496
230521_N2_12	P1	789.8326112	256.3683971	204.3436035
230521_N2_12	AB	920.8275606	262.1319852	251.1185985
230521_N2_13	AB	921.4001077	260.2033396	252.1023587
230521_N2_13	P1	791.1097398	257.8615121	202.8719824
230725_N2_01	AB	894.5138521	277.5010061	256.1098745
230725_N2_01	P1	778.4894655	260.6749367	189.0265761
230725_N2_02	AB	944.9259736	289.7508223	270.1622754
230725_N2_02	P1	766.6000718	258.4163146	179.7724943
230725_N2_03	AB	960.5239533	299.7426081	256.7800689
230725_N2_03	P1	902.5828278	291.7653939	212.3958195
230725_N2_04	AB	1108.447835	347.4802637	248.5065401
230725_N2_04	P1	623.1269837	204.5016282	147.7900061
230725_N2_05	AB	1064.371716	311.5734367	284.1137471
230725_N2_05	P1	885.6610383	286.5185793	221.8273049
230725_N2_06	AB	862.6316011	258.9554748	224.0311183
230725_N2_06	P1	749.1513703	230.9078311	199.189585
230725_N2_09	P1	798.8204179	261.9072611	200.6175462
230725_N2_09	AB	1049.602164	317.5045845	269.9765952
230725_N2_10	P1	780.1635636	258.0167942	191.5098145
230725_N2_10	AB	852.0458146	268.5892019	225.405683
230725_N2_11	P1	745.2518754	247.3515015	188.0687047
230725_N2_11	AB	941.0163774	291.0078072	254.8906307
230725_N2_13	P2	767.6366517	254.7209794	178.1027576
230725_N2_13	ABa	982.6854249	354.9922331	192.2286566
230725_N2_13	ABb	548.0559159	166.0440751	137.2967195
230725_N2_15	ABa	799.2102448	277.2819357	184.1143409
230725_N2_15	ABb	941.7615434	274.0863383	202.125616
230725_N2_15	P2	585.884343	205.2981451	125.8695879
230725_N2_15	EMS	662.8010819	225.8449426	144.4149569
230725_N2_16	P2	533.3868684	191.0660073	116.7667571
230725_N2_16	ABa	977.3767671	345.571123	213.022171
230725_N2_16	ABb	719.7422074	228.7389302	158.5758015
230725_N2_17	AB	1039.862048	305.4238622	297.1179061
230725_N2_17	P1	701.9493142	235.1285374	166.7624824
230725_N2_18	ABa	648.256926	217.253599	154.3671055
230725_N2_18	EMS	595.6234124	187.4360265	151.4697865
230725_N2_18	ABb	664.7716447	218.9967233	147.0116282
230725_N2_18	P2	534.1147904	199.5130191	106.8455477
230725_N2_19	P1	889.51176	292.5934713	202.1984229
230725_N2_19	AB	889.3351365	277.0555706	238.978564
233060_N2_lin-41_set-3_01	ABa	672.2335854	206.7966274	170.8081549
233060_N2_lin-41_set-3_01	ABp	559.9493142	187.3755351	127.6562965
233060_N2_lin-41_set-3_01	P2	483.5878785	168.2079117	115.9046617
233060_N2_lin-41_set-3_01	EMS	565.8721497	197.1550387	122.3905393
233060_N2_lin-41_set-3_05	ABa	645.411255	202.01472	182.0126724
233060_N2_lin-41_set-3_05	EMS	626.1980515	216.2089774	118.1381791
233060_N2_lin-41_set-3_05	ABp	638.6833329	206.1552022	164.0340794
233060_N2_lin-41_set-3_05	P2	557.9310242	192.8975537	129.2495865
233060_N2_lin-41_set-3_06	P1	839.5189027	263.0641925	218.4536447
233060_N2_lin-41_set-3_06	AB	989.8691911	290.1512769	271.4999024
233060_N2_lin-41_set-3_07	EMS	482.3858223	156.8206564	114.5350131
233060_N2_lin-41_set-3_07	P2	536.8599564	187.0013174	129.1079085
233060_N2_lin-41_set-3_07	ABa	690.2985566	222.9381839	173.3125761
233060_N2_lin-41_set-3_07	ABp	585.0487732	186.6727168	120.4726522
233060_N2_lin-41_set-3_08	EMS	542.5229073	188.2403483	115.4659077
233060_N2_lin-41_set-3_08	ABa	606.1980515	204.39913	154.227573
233060_N2_lin-41_set-3_08	P2	530.7005769	184.109968	121.4583024
233060_N2_lin-41_set-3_08	ABp	683.9259736	216.1308781	153.1090448
233060_N2_lin-41_set-3_09	AB	943.4528855	286.4833755	247.9410558
233060_N2_lin-41_set-3_09	P1	429.4213562	174.7793061	68.52782868
233060_N2_lin-41_set-3_11	AB	893.9991334	295.7125023	234.0757013
233060_N2_lin-41_set-3_11	P1	661.7787873	223.1599379	158.7824957
233060_N2_lin-41_set-3_12	AB	815.1686143	249.1405091	227.0841603
233060_N2_lin-41_set-3_12	P1	995.7726907	292.2289196	261.6853641
233060_N2_lin-41_set-3_14	P1	798.766594	258.8189948	204.9137642
233060_N2_lin-41_set-3_14	AB	1026.104689	289.1870846	283.991127
233060_N2_lin-41_set-3_15	P1	500.7888886	184.0527527	101.0021118
233060_N2_lin-41_set-3_15	AB	842.9747468	256.3203793	226.1983051
