ImageID,set3_mRNA,lin41_mRNA,label,confidence,csv_name,subdirectory,confidenceInWrongLabel,confidenceInWrongPrediction,erm1_mRNA,rep,cell_stage
230521_N2_01,330,915,P1,0.59,quantification_cell_counts_230521_N2_01,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_01,2-cell
230521_N2_01,328,585,AB,0.89,quantification_cell_counts_230521_N2_01,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_01,2-cell
230521_N2_03,543,1377,P1,NA,quantification_cell_counts_230521_N2_03,2-cell_230521_N2_lin41_set3,0.87,NA,NA,quantification_cell_counts_230521_N2_03,2-cell
230521_N2_03,540,936,AB,NA,quantification_cell_counts_230521_N2_03,2-cell_230521_N2_lin41_set3,0.85,NA,NA,quantification_cell_counts_230521_N2_03,2-cell
230521_N2_04,759,2173,AB,0.91,quantification_cell_counts_230521_N2_04,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_04,2-cell
230521_N2_04,502,1729,P1,0.86,quantification_cell_counts_230521_N2_04,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_04,2-cell
230521_N2_07,539,1082,AB,NA,quantification_cell_counts_230521_N2_07,2-cell_230521_N2_lin41_set3,0.86,NA,NA,quantification_cell_counts_230521_N2_07,2-cell
230521_N2_07,461,1407,P1,NA,quantification_cell_counts_230521_N2_07,2-cell_230521_N2_lin41_set3,0.88,NA,NA,quantification_cell_counts_230521_N2_07,2-cell
230521_N2_12,578,1754,P1,0.77,quantification_cell_counts_230521_N2_12,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_12,2-cell
230521_N2_12,803,1210,AB,0.88,quantification_cell_counts_230521_N2_12,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_12,2-cell
230521_N2_13,627,812,AB,0.86,quantification_cell_counts_230521_N2_13,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_13,2-cell
230521_N2_13,486,913,P1,0.76,quantification_cell_counts_230521_N2_13,2-cell_230521_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230521_N2_13,2-cell
230725_N2_01,336,522,AB,0.93,quantification_cell_counts_230725_N2_01,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_01,2-cell
230725_N2_01,250,952,P1,0.56,quantification_cell_counts_230725_N2_01,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_01,2-cell
230725_N2_02,386,1086,AB,0.99,quantification_cell_counts_230725_N2_02,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_02,2-cell
230725_N2_02,270,1025,P1,0.77,quantification_cell_counts_230725_N2_02,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_02,2-cell
230725_N2_03,838,817,AB,0.96,quantification_cell_counts_230725_N2_03,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_03,2-cell
230725_N2_03,730,1739,P1,0.73,quantification_cell_counts_230725_N2_03,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_03,2-cell
230725_N2_04,896,844,AB,0.77,quantification_cell_counts_230725_N2_04,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_04,2-cell
230725_N2_04,295,501,P1,0.96,quantification_cell_counts_230725_N2_04,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_04,2-cell
230725_N2_05,734,2798,P1,NA,quantification_cell_counts_230725_N2_05,2-cell_230725_N2_lin41_set3,NA,0.93,NA,quantification_cell_counts_230725_N2_05,2-cell
230725_N2_05,644,2635,AB,NA,quantification_cell_counts_230725_N2_05,2-cell_230725_N2_lin41_set3,NA,0.85,NA,quantification_cell_counts_230725_N2_05,2-cell
230725_N2_09,638,931,P1,0.67,quantification_cell_counts_230725_N2_09,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_09,2-cell
230725_N2_09,916,764,AB,0.83,quantification_cell_counts_230725_N2_09,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_09,2-cell
230725_N2_10,471,1817,P1,0.51,quantification_cell_counts_230725_N2_10,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_10,2-cell
230725_N2_10,554,1505,AB,0.88,quantification_cell_counts_230725_N2_10,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_10,2-cell
230725_N2_11,508,2113,P1,0.51,quantification_cell_counts_230725_N2_11,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_11,2-cell
230725_N2_11,810,2708,AB,0.91,quantification_cell_counts_230725_N2_11,2-cell_230725_N2_lin41_set3,NA,NA,NA,quantification_cell_counts_230725_N2_11,2-cell
