ImageID date mRNA_name cell_stage label lineage abundance perimeter major_axis_length minor_axis_length circumference volume abundance_by_vol
1 230521_N2_01 230521 lin41_mRNA 2-cell P1 Germline 915 875.5950212 306.4911106 185.9879078 790.326683621053 812023186.998301 1.12681511396535e-06
2 230521_N2_01 230521 lin41_mRNA 2-cell AB Somatic 585 1009.435642 322.1180593 262.1105908 959.556627673684 1453316898.61849 4.02527487677392e-07
3 230521_N2_03 230521 lin41_mRNA 2-cell P1 Germline 1377 813.920923 258.1622019 216.2771876 790.326683621053 812023186.998301 1.69576438462327e-06
4 230521_N2_03 230521 lin41_mRNA 2-cell AB Somatic 936 979.5605333 291.6551075 263.8666582 959.556627673684 1453316898.61849 6.44043980283827e-07
5 230521_N2_04 230521 lin41_mRNA 2-cell AB Somatic 2173 866.5067094 262.2477111 242.3268165 959.556627673684 1453316898.61849 1.49520039439824e-06
6 230521_N2_04 230521 lin41_mRNA 2-cell P1 Germline 1729 662.884343 197.5686805 169.9624561 790.326683621053 812023186.998301 2.12924954321978e-06
7 230521_N2_07 230521 lin41_mRNA 2-cell AB Somatic 1082 953.394011 294.855931 230.0527761 959.556627673684 1453316898.61849 7.44503831909296e-07
8 230521_N2_07 230521 lin41_mRNA 2-cell P1 Germline 1407 804.3818177 263.6484091 201.7380441 790.326683621053 812023186.998301 1.7327091424582e-06
9 230521_N2_12 230521 lin41_mRNA 2-cell P1 Germline 1754 789.8326112 256.3683971 204.3436035 790.326683621053 812023186.998301 2.16003684141555e-06
10 230521_N2_12 230521 lin41_mRNA 2-cell AB Somatic 1210 920.8275606 262.1319852 251.1185985 959.556627673684 1453316898.61849 8.32578222375461e-07
11 230521_N2_13 230521 lin41_mRNA 2-cell AB Somatic 812 921.4001077 260.2033396 252.1023587 959.556627673684 1453316898.61849 5.58721914519731e-07
12 230521_N2_13 230521 lin41_mRNA 2-cell P1 Germline 913 791.1097398 257.8615121 202.8719824 790.326683621053 812023186.998301 1.12435213010969e-06
13 230725_N2_01 230725 lin41_mRNA 2-cell AB Somatic 522 894.5138521 277.5010061 256.1098745 959.556627673684 1453316898.61849 3.59178373619827e-07
14 230725_N2_01 230725 lin41_mRNA 2-cell P1 Germline 952 778.4894655 260.6749367 189.0265761 790.326683621053 812023186.998301 1.1723803152951e-06
15 230725_N2_02 230725 lin41_mRNA 2-cell AB Somatic 1086 944.9259736 289.7508223 270.1622754 959.556627673684 1453316898.61849 7.47256156611364e-07
16 230725_N2_02 230725 lin41_mRNA 2-cell P1 Germline 1025 766.6000718 258.4163146 179.7724943 790.326683621053 812023186.998301 1.26227922602676e-06
17 230725_N2_03 230725 lin41_mRNA 2-cell AB Somatic 817 960.5239533 299.7426081 256.7800689 959.556627673684 1453316898.61849 5.62162320397315e-07
18 230725_N2_03 230725 lin41_mRNA 2-cell P1 Germline 1739 902.5828278 291.7653939 212.3958195 790.326683621053 812023186.998301 2.14156446249809e-06
19 230725_N2_04 230725 lin41_mRNA 2-cell AB Somatic 844 1108.447835 347.4802637 248.5065401 959.556627673684 1453316898.61849 5.80740512136272e-07
20 230725_N2_04 230725 lin41_mRNA 2-cell P1 Germline 501 623.1269837 204.5016282 147.7900061 790.326683621053 812023186.998301 6.16977455843325e-07
21 230725_N2_05 230725 lin41_mRNA 2-cell P1 Germline 2798 885.6610383 286.5185793 221.8273049 790.326683621053 812023186.998301 3.4457144140711e-06
22 230725_N2_05 230725 lin41_mRNA 2-cell AB Somatic 2635 1064.371716 311.5734367 284.1137471 959.556627673684 1453316898.61849 1.81309389748706e-06
23 230725_N2_09 230725 lin41_mRNA 2-cell P1 Germline 931 798.8204179 261.9072611 200.6175462 790.326683621053 812023186.998301 1.14651898481065e-06
24 230725_N2_09 230725 lin41_mRNA 2-cell AB Somatic 764 1049.602164 317.5045845 269.9765952 959.556627673684 1453316898.61849 5.25694018094919e-07
25 230725_N2_10 230725 lin41_mRNA 2-cell P1 Germline 1817 780.1635636 258.0167942 191.5098145 790.326683621053 812023186.998301 2.2376208328689e-06
26 230725_N2_10 230725 lin41_mRNA 2-cell AB Somatic 1505 852.0458146 268.5892019 225.405683 959.556627673684 1453316898.61849 1.03556216915295e-06
27 230725_N2_11 230725 lin41_mRNA 2-cell P1 Germline 2113 745.2518754 247.3515015 188.0687047 790.326683621053 812023186.998301 2.60214244350688e-06
28 230725_N2_11 230725 lin41_mRNA 2-cell AB Somatic 2708 941.0163774 291.0078072 254.8906307 959.556627673684 1453316898.61849 1.86332382329979e-06
29 230725_N2_17 230725 lin41_mRNA 2-cell AB Somatic 880 1039.862048 305.4238622 297.1179061 959.556627673684 1453316898.61849 6.0551143445488e-07
30 230725_N2_17 230725 lin41_mRNA 2-cell P1 Germline 1042 701.9493142 235.1285374 166.7624824 790.326683621053 812023186.998301 1.28321458879989e-06
31 233060_N2_lin-41_set-3_06 233060 lin41_mRNA 2-cell P1 Germline 1304 839.5189027 263.0641925 218.4536447 790.326683621053 812023186.998301 1.60586547389161e-06
