"Comparison","diff","lwr","upr","p adj"
"2-cell_DG3913-2-cell_N2",-419.545698924708,-2041.8288230057,1202.73742515628,0.999824625116432
"2-cell_DG5410-2-cell_N2",-1245.87903225806,-2868.16215633905,376.404091822934,0.34380345025875
"2-cell_DG5329-2-cell_N2",-79.1290322580653,-2000.42010840675,1842.16204389062,1
"2-cell_DG5779-2-cell_N2",2577.62096774194,955.337843660953,4199.90409182293,1.58803780513361e-05
"2-cell_DG5399-2-cell_N2",4164.3154121864,2396.19143326705,5932.43939110575,6.64257537863477e-12
"2-cell_DG5398-2-cell_N2",4624.74053295933,2982.69994261148,6266.78112330718,6.38378239159465e-14
"4-cell_N2-2-cell_N2",-2477.55760368663,-4398.84867983532,-556.266527537939,0.00151295308367849
"4-cell_DG3913-2-cell_N2",-2485.27188940091,-4982.12908883264,11.5853100308241,0.0524119092067921
"4-cell_DG5410-2-cell_N2",-2702.76539589442,-4796.77769978662,-608.753092002225,0.00148846308606077
"4-cell_DG5329-2-cell_N2",-2713.32903225806,-5588.8542111439,162.196146627777,0.0867276658880147
"4-cell_DG5779-2-cell_N2",-445.834914610999,-2246.55863125628,1354.88880203428,0.999892255417205
"4-cell_DG5399-2-cell_N2",2757.65668202766,836.365605878967,4678.94775817635,0.000182363810075081
"4-cell_DG5398-2-cell_N2",1744.37096774194,-284.220204755078,3772.96214023896,0.178858748405994
"2-cell_DG5410-2-cell_DG3913",-826.333333333348,-2548.76162528333,896.09495861663,0.937277706992057
"2-cell_DG5329-2-cell_DG3913",340.416666666643,-1666.15156928257,2346.98490261585,0.999998734057835
"2-cell_DG5779-2-cell_DG3913",2997.16666666665,1274.73837471667,4719.59495861663,1.1895298671627e-06
"2-cell_DG5399-2-cell_DG3913",4583.86111111111,2723.42592248955,6444.29629973266,6.94888591112885e-13
"2-cell_DG5398-2-cell_DG3913",5044.28623188404,3303.23655235687,6785.33591141121,6.0285110237146e-14
"4-cell_N2-2-cell_DG3913",-2058.01190476192,-4064.58014071113,-51.4436688127087,0.0383239856558816
"4-cell_DG3913-2-cell_DG3913",-2065.7261904762,-4628.78150798025,497.329127027856,0.267442759597498
"4-cell_DG5410-2-cell_DG3913",-2283.21969696971,-4455.73994200395,-110.699451935471,0.029203919464614
"4-cell_DG5329-2-cell_DG3913",-2293.78333333336,-5226.97302045524,639.40635378853,0.314338250507103
"4-cell_DG5779-2-cell_DG3913",-26.2892156862908,-1917.73379323028,1865.15536185769,1
"4-cell_DG5399-2-cell_DG3913",3177.20238095237,1170.63414500315,5183.77061690158,1.73865141021023e-05
