Image ID,set 3 mRNA molecules,lin 41 mRNA molecules,Image_ID,subdirectory,Cell_Stage,Strain
6,913,8062,quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG3913,2-cell,DG3913
8,1067,8374,quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG3913,2-cell,DG3913
11,875,5200,quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv,2-cell_DG3913,2-cell,DG3913
2,859,1558,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
3,1502,3688,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
5,1142,3383,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
6,559,674,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
9,805,597,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
10,1449,1706,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
12,1212,716,quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv,2-cell_DG3913,2-cell,DG3913
2,1224,1960,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
3,1249,1262,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
4,428,2071,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
5,1233,3519,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
8,1148,2015,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
9,1728,3344,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
10,1946,3684,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
11,1827,4996,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
12,1997,1954,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
13,2374,2720,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
14,1981,2962,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
15,1983,4151,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
17,866,2459,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
18,2105,4607,quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv,2-cell_DG3913,2-cell,DG3913
1,1414,6351,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
2,531,7281,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
5,1062,949,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
7,1926,2792,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
9,1081,2050,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
10,1315,3511,quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5329,2-cell,DG5329
1,686,2289,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
2,1506,2286,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
3,1497,4180,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
8,1633,2449,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
13,1190,3410,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
15,1464,1590,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
16,1503,6555,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
17,1089,3209,quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5329,2-cell,DG5329
2,1050,6346,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
3,982,5815,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
5,786,7888,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
6,1064,8732,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
8,1437,8214,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
9,1151,6122,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
10,1463,9158,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
11,1367,7543,quantification_230517_DG5398_lin-41_set-3_rep1_2-cell.csv,2-cell_DG5398,2-cell,DG5398
2,1210,8619,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
3,1482,10024,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
6,920,7901,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
8,1476,9616,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
10,1599,8332,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
11,1148,7453,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
12,972,4636,quantification_230521_DG5398_lin-41_set-3_rep2_2-cell.csv,2-cell_DG5398,2-cell,DG5398
4,1160,8945,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
5,1180,6909,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
8,774,9771,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
9,1524,6143,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
10,1238,8292,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
11,1868,11715,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
12,1429,11943,quantification_230607_DG5398_lin-41_set-3_rep3_2-cell.csv,2-cell_DG5398,2-cell,DG5398
