"Image_ID","set_3_mRNA_total_molecules","chs_1_mRNA_total_molecules","subdirectory","Cell_Stage","Strain"
"240830_DG5972_02",3549,8502,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_04",1649,13214,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_09",852,8398,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_10",592,7346,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_07",917,9961,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_01",327,10910,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_08",507,8510,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_02",846,9786,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_05",288,11278,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_07",1069,12328,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_04",252,12536,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_03",599,5620,"2-cell_DG5972","2-cell","DG5972"
"240913_DG5972_09",1135,12319,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_03",6104,10880,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_04",785,7353,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_13",969,10280,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_05",698,5303,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_02",886,3749,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_15",693,9186,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_12",4271,870,"2-cell_DG5972","2-cell","DG5972"
"250130_DG5972_01",7703,6852,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_01",440,9309,"2-cell_DG5972","2-cell","DG5972"
"240830_DG5972_03",968,12170,"2-cell_DG5972","2-cell","DG5972"
"240830_N2_03",5521,1004,"2-cell_N2","2-cell","N2"
"240830_N2_02",530,643,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_06",844,1082,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_05",7000,1866,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_02",793,710,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_08",5378,2582,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_03",330,620,"2-cell_N2","2-cell","N2"
"241114_N2_chs-1_04",1001,2767,"2-cell_N2","2-cell","N2"
"250207_N2_22",1316,1817,"2-cell_N2","2-cell","N2"
"250207_N2_19",1591,3043,"2-cell_N2","2-cell","N2"
"250207_N2_26",1118,1258,"2-cell_N2","2-cell","N2"
"250207_N2_15",1450,1188,"2-cell_N2","2-cell","N2"
"250207_N2_18",1816,3457,"2-cell_N2","2-cell","N2"
"250207_N2_03",1474,219,"2-cell_N2","2-cell","N2"
"250207_N2_09",1288,1284,"2-cell_N2","2-cell","N2"
"250207_N2_04",1044,1170,"2-cell_N2","2-cell","N2"
"250207_N2_13",1293,687,"2-cell_N2","2-cell","N2"
"250207_N2_05",1516,2137,"2-cell_N2","2-cell","N2"
"250207_N2_08",1265,2502,"2-cell_N2","2-cell","N2"
"250207_N2_11",1379,1795,"2-cell_N2","2-cell","N2"
"250207_N2_06",1387,2497,"2-cell_N2","2-cell","N2"
"250207_N2_12",1342,1299,"2-cell_N2","2-cell","N2"
"250207_N2_10",1024,887,"2-cell_N2","2-cell","N2"
"250207_N2_23",8,0,"2-cell_N2","2-cell","N2"
"240830_DG5972_12",825,4094,"4-cell_DG5972","4-cell","DG5972"
"240830_DG5972_11",771,4725,"4-cell_DG5972","4-cell","DG5972"
"240830_DG5972_05",801,9562,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_09",7378,929,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_07",637,1812,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_14",792,1954,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_21",7357,855,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_16",4252,1432,"4-cell_DG5972","4-cell","DG5972"
"250130_DG5972_06",4247,1118,"4-cell_DG5972","4-cell","DG5972"
"240830_N2_01",1672,681,"4-cell_N2","4-cell","N2"
"240830_N2_04",661,864,"4-cell_N2","4-cell","N2"
"241114_N2_chs-1_01",6388,368,"4-cell_N2","4-cell","N2"
"241114_N2_chs-1_09",6025,431,"4-cell_N2","4-cell","N2"
"250207_N2_07",1534,727,"4-cell_N2","4-cell","N2"
"250207_N2_21",1979,880,"4-cell_N2","4-cell","N2"
"250207_N2_17",1443,624,"4-cell_N2","4-cell","N2"
"250207_N2_01",785,334,"4-cell_N2","4-cell","N2"
"250207_N2_16",1309,901,"4-cell_N2","4-cell","N2"
