".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","2-cell_DG5965_bright",9,9,3.10395037615276,0.00190955356039333,0.0534674996910133,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","2-cell_wDMP91_dark",9,9,3.03445894982098,0.00240967546057173,0.0674709128960084,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","2-cell_DG5965_dark",9,10,1.89708633447213,0.0578165444994249,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","4-cell_wDMP91_bright",9,7,-0.296383989921494,0.766936850570774,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","4-cell_DG5965_bright",9,11,-0.240735493519755,0.809760127959256,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","4-cell_wDMP91_dark",9,6,2.77107803084107,0.00558710359969184,0.156438900791372,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_bright","4-cell_DG5965_dark",9,9,1.93417803290116,0.0530912422927824,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","2-cell_wDMP91_dark",9,9,-0.0694914263317779,0.944598456953116,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","2-cell_DG5965_dark",9,10,-1.28749955740717,0.197920223768345,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_wDMP91_bright",9,7,-3.19986370319942,0.00137492590476267,0.0384979253333548,"*"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_DG5965_bright",9,11,-3.49618611230983,0.000471959396046634,0.0132148630893057,"*"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_wDMP91_dark",9,6,-0.00517958510437531,0.995867307492579,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_bright","4-cell_DG5965_dark",9,9,-1.1697723432516,0.24209259628532,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_dark","2-cell_DG5965_dark",9,10,-1.21620285833525,0.223907655147156,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_dark","4-cell_wDMP91_bright",9,7,-3.13486042603648,0.00171935895403245,0.0481420507129086,"*"
"lin_41_mRNA_molecules","2-cell_wDMP91_dark","4-cell_DG5965_bright",9,11,-3.4233028895011,0.000618651009467478,0.0173222282650894,"*"
"lin_41_mRNA_molecules","2-cell_wDMP91_dark","4-cell_wDMP91_dark",9,6,0.0569754361481343,0.954564762461702,1,"ns"
"lin_41_mRNA_molecules","2-cell_wDMP91_dark","4-cell_DG5965_dark",9,9,-1.10028091691982,0.271209744078152,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_dark","4-cell_wDMP91_bright",10,7,-2.07184123711735,0.0382802495705329,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_dark","4-cell_DG5965_bright",10,11,-2.24257964932692,0.0249239337832619,0.697870145931333,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_dark","4-cell_wDMP91_dark",10,6,1.14027473508057,0.254171860134352,1,"ns"
"lin_41_mRNA_molecules","2-cell_DG5965_dark","4-cell_DG5965_dark",10,9,0.0873384563631072,0.930402487037314,1,"ns"
"lin_41_mRNA_molecules","4-cell_wDMP91_bright","4-cell_DG5965_bright",7,11,0.0851322922905478,0.932156217952053,1,"ns"
"lin_41_mRNA_molecules","4-cell_wDMP91_bright","4-cell_wDMP91_dark",7,6,2.89359896562875,0.00380854249337813,0.106639189814588,"ns"
"lin_41_mRNA_molecules","4-cell_wDMP91_bright","4-cell_DG5965_dark",7,9,2.10564187095662,0.0352354726737942,0.986593234866238,"ns"
"lin_41_mRNA_molecules","4-cell_DG5965_bright","4-cell_wDMP91_dark",11,6,3.09089559142802,0.00199553789245706,0.0558750609887977,"ns"
"lin_41_mRNA_molecules","4-cell_DG5965_bright","4-cell_DG5965_dark",11,9,2.26931852836283,0.0232489625927535,0.650970952597098,"ns"
"lin_41_mRNA_molecules","4-cell_wDMP91_dark","4-cell_DG5965_dark",6,9,-1.04109660597954,0.29783071460614,1,"ns"
