"Comparison","diff","lwr","upr","p adj"
"2-cell_DG5965_bright-2-cell_wDMP91_bright",6208.88888888888,520.39622031628,11897.3815574615,0.0229647801946361
"2-cell_wDMP91_dark-2-cell_wDMP91_bright",7461.33333333333,1772.84066476073,13149.8260019059,0.00278418591631391
"2-cell_DG5965_dark-2-cell_wDMP91_bright",3878.17777777778,-1666.27903947529,9422.63459503084,0.369515851151942
"4-cell_wDMP91_bright-2-cell_wDMP91_bright",-1503.36507936508,-7584.61954021482,4577.88938148465,0.993805829127021
"4-cell_DG5965_bright-2-cell_wDMP91_bright",-344.76767676768,-5768.53262544948,5078.99727191412,0.999999284094738
"4-cell_wDMP91_dark-2-cell_wDMP91_bright",6479.94444444444,120.016296225685,12839.8725926632,0.0428207016650506
"4-cell_DG5965_dark-2-cell_wDMP91_bright",4459.22222222222,-1229.27044635038,10147.7148907948,0.232584095661629
"2-cell_wDMP91_dark-2-cell_DG5965_bright",1252.44444444445,-4436.04822412815,6940.93711301705,0.996970427150076
"2-cell_DG5965_dark-2-cell_DG5965_bright",-2330.7111111111,-7875.16792836417,3213.74570614196,0.888325207771763
"4-cell_wDMP91_bright-2-cell_DG5965_bright",-7712.25396825396,-13793.5084291037,-1630.99950740423,0.00432057760338367
"4-cell_DG5965_bright-2-cell_DG5965_bright",-6553.65656565656,-11977.4215143384,-1129.89161697476,0.00778007701621042
"4-cell_wDMP91_dark-2-cell_DG5965_bright",271.055555555562,-6088.8725926632,6630.98370377432,0.999999955617761
"4-cell_DG5965_dark-2-cell_DG5965_bright",-1749.66666666666,-7438.15933523926,3938.82600190594,0.977693379263355
"2-cell_DG5965_dark-2-cell_wDMP91_dark",-3583.15555555555,-9127.61237280862,1961.30126169751,0.472659556058024
"4-cell_wDMP91_bright-2-cell_wDMP91_dark",-8964.69841269841,-15045.9528735481,-2883.44395184867,0.000496222932718782
"4-cell_DG5965_bright-2-cell_wDMP91_dark",-7806.10101010101,-13229.8659587828,-2382.33606141921,0.000725888824464227
"4-cell_wDMP91_dark-2-cell_wDMP91_dark",-981.388888888887,-7341.31703710764,5378.53925932987,0.999695657142418
"4-cell_DG5965_dark-2-cell_wDMP91_dark",-3002.11111111111,-8690.60377968371,2686.38155746149,0.715047028830562
"4-cell_wDMP91_bright-2-cell_DG5965_dark",-5381.54285714286,-11328.282163316,565.196449030283,0.104061983635246
"4-cell_DG5965_bright-2-cell_DG5965_dark",-4222.94545454546,-9495.44759077348,1049.55668168257,0.209696546054905
"4-cell_wDMP91_dark-2-cell_DG5965_dark",2601.76666666667,-3629.66483889328,8833.19817222661,0.89178002826972
"4-cell_DG5965_dark-2-cell_DG5965_dark",581.044444444444,-4963.41237280862,6125.50126169751,0.999977569851235
"4-cell_DG5965_bright-4-cell_wDMP91_bright",1158.5974025974,-4675.77773067522,6992.97253587002,0.99842360117649
"4-cell_wDMP91_dark-4-cell_wDMP91_bright",7983.30952380952,1269.78637812023,14696.8326694988,0.00935074957059789
"4-cell_DG5965_dark-4-cell_wDMP91_bright",5962.5873015873,-118.667159262435,12043.841762437,0.0585059464350891
"4-cell_wDMP91_dark-4-cell_DG5965_bright",6824.71212121212,700.419229077525,12949.0050133467,0.0187150161456958
"4-cell_DG5965_dark-4-cell_DG5965_bright",4803.9898989899,-619.775049691901,10227.7548476717,0.119453653077778
"4-cell_DG5965_dark-4-cell_wDMP91_dark",-2020.72222222222,-8380.65037044098,4339.20592599653,0.973265250471689
