Image_ID...1,set_3_mRNA_molecules,lin_41_mRNA_molecules,Image_ID...4,subdirectory,Cell_Stage,Strain
240702_DG5919_01,670,19787,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240702_DG5919_03,765,13128,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240702_DG5919_04,991,16877,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240702_DG5919_07,1153,16990,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_02,583,15161,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_03,265,5565,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_04,977,12738,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_05,612,7778,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_06,942,9804,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_09,1098,8752,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240703_DG5919_10,190,9734,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_01,1166,10364,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_02,1196,15079,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_03,735,20497,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_05,1281,18156,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_08,922,13248,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_09,1744,18410,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_11,1431,13077,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_12,666,12500,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240724_DG5919_13,1525,14869,quantification_DG5919-all-reps-2-cell,2-cell_DG5919,2-cell,DG5919
240823_DG5965_08,375,16144,quantification_DG5965-all-reps-2-cell-bright,2-cell_DG5965_bright,2-cell,DG5965_bright
