transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
C04B4.2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-0.577988228641491	8.95982492796161	0.578	0.666923076923077	ns
C04B4.2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.17003636269532	12.4094122492551	0.868	0.906153846153846	ns
C04B4.2	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	0.442074985517851	10.8763724406072	0.667	0.748405511811024	ns
C04B4.2	4-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-4.64212861876319	12.3058711996319	0.000532	0.0024855737704918	**
C04B4.2	4-cell	total_no_RNA	spn4_plus	spn4_wt	7	9	0.0607402540643758	12.74814126897	0.953	0.959734982332155	ns
C04B4.2	4-cell	total_no_RNA	spn4_minus	spn4_wt	9	9	5.18080093020697	15.9439262909583	9.21e-05	0.00054684375	***
C04B4.2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-3.88874949713945	9.80429871161982	0.003	0.00872448979591837	**
C04B4.2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.82320421904515	13.5453173886149	0.425	0.525584415584416	ns
C04B4.2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	4.26217379138778	10.8837138412062	0.001	0.00327586206896552	**
C04B4.2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-4.89503099202103	7.79303072872291	0.001	0.00327586206896552	**
C04B4.2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	9	0.230894751309276	14.4103786655894	0.821	0.873078358208955	ns
C04B4.2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	4.85972375297308	8.57421597001372	0.001	0.00327586206896552	**
C04B4.2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-5.91810025562474	7.29116519291181	0.000505	0.00239875	**
C04B4.2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.831678206898903	9.37554217926216	0.426	0.525584415584416	ns
C04B4.2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	6.09829866158224	7.05093753815057	0.000478	0.00230898305084746	**
R05H11.1	2-cell	total_no_RNA	spn4_plus	spn4_minus	10	8	-2.5410863335237	13.1036627721711	0.024	0.051044776119403	ns
R05H11.1	2-cell	total_no_RNA	spn4_plus	spn4_wt	10	9	-0.597021232652152	16.6665295011693	0.559	0.650265306122449	ns
R05H11.1	2-cell	total_no_RNA	spn4_minus	spn4_wt	8	9	2.224455599351	11.2747542687407	0.047	0.0887086092715232	ns
R05H11.1	4-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-2.6582249557129	14.3301799425935	0.018	0.0403937007874016	*
R05H11.1	4-cell	total_no_RNA	spn4_plus	spn4_wt	9	8	-1.3193485067454	14.9682800480235	0.207	0.286383495145631	ns
R05H11.1	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	1.57368137071231	13.1305089554164	0.139	0.214135135135135	ns
R05H11.1	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	7	6	-5.61583526086956	10.8325664017313	0.000166	0.0009462	***
R05H11.1	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	7	7	-0.787852281556909	8.71741447501202	0.452	0.55051282051282	ns
R05H11.1	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	6	7	6.29573015227763	7.19188551686752	0.000364	0.0018525	**
R05H11.1	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-6.82579655231308	10.3270224975106	3.92e-05	0.000257147727272727	***
R05H11.1	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	9	-2.35719173557323	13.8707513721869	0.034	0.0677622377622378	ns
R05H11.1	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	9	9	5.8716602653245	9.53509720744666	0.000189	0.00105617647058824	**
R05H11.1	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	7	9	-2.47343215699238	13.3510675166363	0.028	0.0578260869565217	ns
R05H11.1	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	-1.49301623506631	10.0327699768469	0.166	0.242615384615385	ns
R05H11.1	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	9	8	1.66613029892097	10.6194717893608	0.125	0.197916666666667	ns
Y19D2B.2	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	7	0.0518272711268557	12.8603550717801	0.959	0.96237676056338	ns
Y19D2B.2	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	1.5114681084689	10.8464082105574	0.159	0.236015625	ns
Y19D2B.2	2-cell	total_no_RNA	spn4_minus	spn4_wt	7	8	1.41638245765952	9.24862614039619	0.189	0.267985074626866	ns
Y19D2B.2	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	7	0.701506687630236	10.7167131746328	0.498	0.596344537815126	ns
Y19D2B.2	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	-0.159544807043493	13.9972008454589	0.876	0.911167883211679	ns
Y19D2B.2	4-cell	total_no_RNA	spn4_minus	spn4_wt	7	8	-0.907709263369353	10.7993631972578	0.384	0.488571428571429	ns
