row,file,date,imageNo,image,multipleEmbNotes,strain,spn4,condition,transcript,cell_stage,total_no_RNA,No_RNA_clusters,No_RNA_in_clusters,fraction_RNA_in_clusters,avg_no_RNA_per_cluster
1,C04.csv,211102,Image_08,211102_Image_08,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,2868,17,103,0.035913529,6.058823529
2,C04.csv,211102,Image_11,211102_Image_11,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,3471,21,127,0.036588879,6.047619048
3,C04.csv,211102,Image_18,211102_Image_18,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,2733,20,112,0.040980607,5.6
4,C04.csv,211102,Image_19,211102_Image_19,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,2498,18,127,0.050840673,7.055555556
5,C04.csv,211105,Image_11,211105_Image_11,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,2371,8,45,0.018979334,5.625
6,C04.csv,211105,Image_12,211105_Image_12,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,3330,12,69,0.020720721,5.75
7,C04.csv,211105,Image_16,211105_Image_16,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,2670,6,35,0.013108614,5.833333333
8,C04.csv,211105,Image_19,211105_Image_19,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,2-cell,3920,17,101,0.025765306,5.941176471
9,C04.csv,211102,Image_04,211102_Image_04,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,495,6,108,0.218181818,18
10,C04.csv,211102,Image_12,211102_Image_12,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,284,2,80,0.281690141,40
11,C04.csv,211102,Image_29,211102_Image_29,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,353,5,56,0.158640227,11.2
12,C04.csv,211105,Image_01,211105_Image_01,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,210,3,45,0.214285714,15
13,C04.csv,211105,Image_06,211105_Image_06,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,161,2,15,0.093167702,7.5
14,C04.csv,211105,Image_13,211105_Image_13,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,214,4,40,0.186915888,10
15,C04.csv,211105,Image_14,211105_Image_14,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,290,7,82,0.282758621,11.71428571
16,C04.csv,211105,Image_30,211105_Image_30,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,16-28-cell,112,0,0,0,0
17,C04.csv,211102,Image_06,211102_Image_06,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,1719,15,110,0.063990692,7.333333333
18,C04.csv,211102,Image_07,211102_Image_07,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,2287,29,193,0.084390031,6.655172414
19,C04.csv,211102,Image_16,211102_Image_16,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,3471,36,250,0.072025353,6.944444444
20,C04.csv,211105,Image_12,211105_Image_12,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,2308,15,91,0.039428076,6.066666667
21,C04.csv,211105,Image_21,211105_Image_21,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,1888,3,19,0.010063559,6.333333333
22,C04.csv,211105,Image_26,211105_Image_26,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,1784,4,21,0.0117713,5.25
23,C04.csv,211105,Image_23,211105_Image_23,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,4-cell,1646,9,52,0.031591738,5.777777778
24,C04.csv,211102,Image_01,211102_Image_01,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1244,17,199,0.159967846,11.70588235
25,C04.csv,211102,Image_13,211102_Image_13,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1057,8,95,0.08987701,11.875
26,C04.csv,211102,Image_15,211102_Image_15,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1147,15,143,0.12467306,9.533333333
27,C04.csv,211102,Image_17,211102_Image_17,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1275,22,145,0.11372549,6.590909091
28,C04.csv,211102,Image_26,211102_Image_26,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1512,14,143,0.09457672,10.21428571
29,C04.csv,211102,Image_32,211102_Image_32,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,2478,29,212,0.085552865,7.310344828
30,C04.csv,211105,Image_04,211105_Image_04,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1890,15,108,0.057142857,7.2
31,C04.csv,211105,Image_05,211105_Image_05,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,8-11-cell,1677,27,233,0.138938581,8.62962963
32,C04.csv,211102,Image_23,211102_Image_23,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,674,9,131,0.194362018,14.55555556
33,C04.csv,211102,Image_31,211102_Image_31,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,932,9,76,0.081545064,8.444444444
34,C04.csv,211102,Image_32,211102_Image_32,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,1175,15,154,0.13106383,10.26666667
35,C04.csv,211105,Image_03,211105_Image_03,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,832,8,56,0.067307692,7
36,C04.csv,211102,Image_33,211102_Image_33_top,top,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,1154,16,151,0.13084922,9.4375
37,C04.csv,211102,Image_33,211102_Image_33_bottom,bottom,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,536,9,78,0.145522388,8.666666667
38,C04.csv,211105,Image_07,211105_Image_07,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,949,9,66,0.069546891,7.333333333
39,C04.csv,211105,Image_08,211105_Image_08,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,482,7,65,0.134854772,9.285714286
40,C04.csv,211105,Image_09,211105_Image_09,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,C04B4.2,12-15-cell,569,6,55,0.096660808,9.166666667
41,C04.csv,211102,Image_20,211102_Image_20,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,1979,11,59,0.029813037,5.363636364
42,C04.csv,211102,Image_09,211102_Image_09,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,4106,37,211,0.051388212,5.702702703
43,C04.csv,211102,Image_03,211102_Image_03,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,5091,45,255,0.050088391,5.666666667
44,C04.csv,211102,Image_25,211102_Image_25,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,1703,11,71,0.041691133,6.454545455
45,C04.csv,211102,Image_37,211102_Image_37,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,4337,46,307,0.070786258,6.673913043
46,C04.csv,211105,Image_17,211105_Image_17,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,2155,6,49,0.022737819,8.166666667
47,C04.csv,211105,Image_18,211105_Image_18,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,4816,42,233,0.048380399,5.547619048
48,C04.csv,211105,Image_27,211105_Image_27,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,2-cell,2158,8,45,0.020852641,5.625
49,C04.csv,211102,Image_18,211102_Image_18,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3187,29,213,0.066834013,7.344827586
50,C04.csv,211102,Image_21,211102_Image_21,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3299,23,158,0.047893301,6.869565217
51,C04.csv,211102,Image_22,211102_Image_22,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,4718,47,314,0.066553624,6.680851064
52,C04.csv,211102,Image_23,211102_Image_23,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,4114,46,294,0.071463296,6.391304348
53,C04.csv,211105,Image_13,211105_Image_13,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3719,16,89,0.023931164,5.5625
54,C04.csv,211105,Image_15,211105_Image_15,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3781,12,86,0.022745305,7.166666667
55,C04.csv,211105,Image_22,211105_Image_22,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3081,17,107,0.034728984,6.294117647
56,C04.csv,211105,Image_24,211105_Image_24,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,3500,11,64,0.018285714,5.818181818
57,C04.csv,211105,Image_25,211105_Image_25,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,4-cell,2865,8,44,0.015357766,5.5
58,C04.csv,211102,Image_01,211102_Image_01,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,2429,14,146,0.06010704,10.42857143
59,C04.csv,211102,Image_14,211102_Image_14,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,4676,44,307,0.065654405,6.977272727
60,C04.csv,211102,Image_27,211102_Image_27_top,top,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,1421,8,50,0.035186488,6.25
61,C04.csv,211102,Image_27,211102_Image_27_bottom,bottom,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,3577,24,137,0.038300252,5.708333333
62,C04.csv,211102,Image_34,211102_Image_34,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,2916,33,181,0.062071331,5.484848485
63,C04.csv,211105,Image_02,211105_Image_02,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,4223,16,99,0.02344305,6.1875
64,C04.csv,211105,Image_10,211105_Image_10,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,2856,7,42,0.014705882,6
65,C04.csv,211105,Image_15,211105_Image_15,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,8-11-cell,2698,14,96,0.035581913,6.857142857
66,C04.csv,211102,Image_02,211102_Image_02,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,3291,27,180,0.054694622,6.666666667
67,C04.csv,211102,Image_35,211102_Image_35,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,3065,28,162,0.052854812,5.785714286
68,C04.csv,211102,Image_36,211102_Image_36,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,3990,40,281,0.070426065,7.025
69,C04.csv,211102,Image_37,211102_Image_37,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,3065,18,117,0.03817292,6.5
70,C04.csv,211105,Image_14,211105_Image_14,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,C04B4.2,12-15-cell,1826,3,22,0.012048193,7.333333333
