transcript	spn4	cell_stage	mean	sd
C04B4.2	spn4_plus	2-cell	2982.625	537.186303809023
C04B4.2	spn4_plus	4-cell	2157.57142857143	636.494267359065
C04B4.2	spn4_plus	8-11-cell	1535	473.177103660534
C04B4.2	spn4_plus	12-15-cell	811.444444444444	261.119757540056
C04B4.2	spn4_plus	16-28-cell	264.875	120.404600647745
C04B4.2	spn4_minus	2-cell	3293.125	1421.32749191934
C04B4.2	spn4_minus	4-cell	3584.88888888889	574.428290660471
C04B4.2	spn4_minus	8-11-cell	3099.5	1034.87128254125
C04B4.2	spn4_minus	12-15-cell	2652.25	1034.764258867
C04B4.2	spn4_minus	16-28-cell	2029.5	834.724933307802
C04B4.2	spn4_wt	2-cell	3039.625	781.295981503992
C04B4.2	spn4_wt	4-cell	2138.44444444444	609.566877198702
C04B4.2	spn4_wt	8-11-cell	1319.5	569.510065131174
C04B4.2	spn4_wt	12-15-cell	776.666666666667	368.78008351862
C04B4.2	spn4_wt	16-28-cell	226.5	50.3502021559284
R05H11.1	spn4_plus	2-cell	560.4	143.783942852539
R05H11.1	spn4_plus	4-cell	443.888888888889	135.441356723532
R05H11.1	spn4_plus	8-11-cell	268.714285714286	96.9565440213884
R05H11.1	spn4_plus	12-15-cell	176.625	53.8302556985514
R05H11.1	spn4_plus	16-28-cell	192.857142857143	100.516049417375
R05H11.1	spn4_minus	2-cell	761.75	183.548164173409
R05H11.1	spn4_minus	4-cell	627.875	148.386019268278
R05H11.1	spn4_minus	8-11-cell	564.666666666667	92.7678105091775
R05H11.1	spn4_minus	12-15-cell	535.444444444444	147.006046738826
R05H11.1	spn4_minus	16-28-cell	359.111111111111	166.347861756955
R05H11.1	spn4_wt	2-cell	595.444444444444	111.371126319966
R05H11.1	spn4_wt	4-cell	523.75	114.042285390739
R05H11.1	spn4_wt	8-11-cell	300.857142857143	47.4426972653276
R05H11.1	spn4_wt	12-15-cell	234.111111111111	45.7477989755913
R05H11.1	spn4_wt	16-28-cell	259.125	64.9118908323319
Y19D2B.2	spn4_plus	2-cell	18	10.8759236060996
Y19D2B.2	spn4_plus	4-cell	14.25	9.46799118835971
Y19D2B.2	spn4_plus	8-11-cell	121.571428571429	69.5170414187705
Y19D2B.2	spn4_plus	12-15-cell	683.625	379.243584558225
Y19D2B.2	spn4_plus	16-28-cell	1194.125	360.523602357936
Y19D2B.2	spn4_minus	2-cell	17.7142857142857	10.4517029826768
Y19D2B.2	spn4_minus	4-cell	11.5714285714286	4.85994317035165
Y19D2B.2	spn4_minus	8-11-cell	20.75	14.8780759124674
Y19D2B.2	spn4_minus	12-15-cell	111.875	128.028386919241
Y19D2B.2	spn4_minus	16-28-cell	411.625	296.718210476828
Y19D2B.2	spn4_wt	2-cell	11.375	5.95069023607466
Y19D2B.2	spn4_wt	4-cell	15	9.33503385868831
Y19D2B.2	spn4_wt	8-11-cell	91.375	100.819410687767
Y19D2B.2	spn4_wt	12-15-cell	650.625	304.452641168188
Y19D2B.2	spn4_wt	16-28-cell	1009.25	418.011876112903
Y37H2A.12	spn4_plus	2-cell	268.25	88.8654681446704
Y37H2A.12	spn4_plus	4-cell	257.75	68.026780440815
Y37H2A.12	spn4_plus	8-11-cell	199.333333333333	60.8810315287118
Y37H2A.12	spn4_plus	12-15-cell	88.1111111111111	45.9849009035695
Y37H2A.12	spn4_plus	16-28-cell	25.375	11.4509824905988
Y37H2A.12	spn4_minus	2-cell	391	75.224663508719
Y37H2A.12	spn4_minus	4-cell	254.625	101.466303343946
Y37H2A.12	spn4_minus	8-11-cell	243.75	134.632568761903
Y37H2A.12	spn4_minus	12-15-cell	222.875	78.3844691249485
Y37H2A.12	spn4_minus	16-28-cell	79.75	65.7413764035145
Y37H2A.12	spn4_wt	2-cell	230.571428571429	126.879019992612
Y37H2A.12	spn4_wt	4-cell	131.363636363636	49.2285947946368
Y37H2A.12	spn4_wt	8-11-cell	97	35.7258076652346
Y37H2A.12	spn4_wt	12-15-cell	38.125	20.1879560983417
Y37H2A.12	spn4_wt	16-28-cell	17.7142857142857	11.2652013699162
ZK666.4	spn4_plus	2-cell	370.625	178.999551076851
ZK666.4	spn4_plus	4-cell	906.875	544.46184111338
ZK666.4	spn4_plus	8-11-cell	4342	1364.76802058079
ZK666.4	spn4_plus	12-15-cell	4959.44444444444	1593.05116922771
ZK666.4	spn4_plus	16-28-cell	1182.125	1046.91934980685
ZK666.4	spn4_minus	2-cell	439.777777777778	183.763963944089
ZK666.4	spn4_minus	4-cell	583.875	323.514820813072
ZK666.4	spn4_minus	8-11-cell	821.25	286.895575826069
ZK666.4	spn4_minus	12-15-cell	2177	1221.65438180012
ZK666.4	spn4_minus	16-28-cell	2344.125	1717.2588154631
ZK666.4	spn4_wt	2-cell	275.857142857143	128.581269464657
ZK666.4	spn4_wt	4-cell	507.727272727273	469.527654331263
ZK666.4	spn4_wt	8-11-cell	2374	1473.77531078067
ZK666.4	spn4_wt	12-15-cell	1987.375	1266.57117982821
ZK666.4	spn4_wt	16-28-cell	625.714285714286	543.529733711571
car-1	spn4_plus	2-cell	21064	2651.52780756411
car-1	spn4_plus	4-cell	15841.5714285714	3672.96514445495
car-1	spn4_plus	8-11-cell	12744.2	5002.3201017128
car-1	spn4_plus	12-15-cell	4842.14285714286	1798.97363595389
car-1	spn4_plus	16-28-cell	1691.375	1114.47065429544
car-1	spn4_minus	2-cell	20384.25	3269.02142413117
car-1	spn4_minus	4-cell	22666.5	4106.71891973559
car-1	spn4_minus	8-11-cell	20857.5	4964.09022020004
car-1	spn4_minus	12-15-cell	19470.5555555556	4246.63823250554
car-1	spn4_minus	16-28-cell	19268.5	3823.62998807603
car-1	spn4_wt	2-cell	17052.75	4674.02270151587
car-1	spn4_wt	4-cell	11692	2789.7057192471
car-1	spn4_wt	8-11-cell	5724.875	2434.48377851592
car-1	spn4_wt	12-15-cell	2451.25	477.170454719425
car-1	spn4_wt	16-28-cell	1166.375	363.656013876536
cgh-1	spn4_plus	2-cell	18088.125	3191.19898817715
cgh-1	spn4_plus	4-cell	15526.125	4247.63340621239
cgh-1	spn4_plus	8-11-cell	16214.5	2983.85785758734
cgh-1	spn4_plus	12-15-cell	8814.14285714286	2464.45886072186
cgh-1	spn4_plus	16-28-cell	5606.5	2325.91174135465
cgh-1	spn4_minus	2-cell	12313	2166.6506079991
cgh-1	spn4_minus	4-cell	11035.75	960.628774739307
cgh-1	spn4_minus	8-11-cell	9053.71428571429	3479.98279278723
cgh-1	spn4_minus	12-15-cell	8458.22222222222	1726.66070623167
cgh-1	spn4_minus	16-28-cell	7437.25	1053.4839818431
cgh-1	spn4_wt	2-cell	19196.7142857143	3321.14572169935
cgh-1	spn4_wt	4-cell	19080.5555555556	4027.08704000519
cgh-1	spn4_wt	8-11-cell	16572.25	1877.31204119081
cgh-1	spn4_wt	12-15-cell	10686.375	2453.97362528032
cgh-1	spn4_wt	16-28-cell	5696.875	2407.77878893153
chs-1	spn4_plus	2-cell	3730.125	1663.60335567106
chs-1	spn4_plus	4-cell	1541.75	542.500493745661
chs-1	spn4_plus	8-11-cell	689.625	247.140756597184
chs-1	spn4_plus	12-15-cell	292.375	121.310625491516
chs-1	spn4_plus	16-28-cell	162.125	67.1149067963721
chs-1	spn4_minus	2-cell	11976.25	1281.68257157758
chs-1	spn4_minus	4-cell	11172.5	2957.02818963325
chs-1	spn4_minus	8-11-cell	10451.125	1964.20623280754
chs-1	spn4_minus	12-15-cell	10357.125	1791.16773063991
chs-1	spn4_minus	16-28-cell	8004	1097.4981939458
chs-1	spn4_wt	2-cell	1253	590.992627461871
chs-1	spn4_wt	4-cell	487.875	203.101971222058
chs-1	spn4_wt	8-11-cell	252.333333333333	85.3258460256914
chs-1	spn4_wt	12-15-cell	101.25	25.9105604504639
chs-1	spn4_wt	16-28-cell	64.875	25.3289078214709
cpg-2	spn4_plus	2-cell	22553.375	5135.11571541619
cpg-2	spn4_plus	4-cell	9350.625	3053.95710221065
cpg-2	spn4_plus	8-11-cell	6795.375	2277.33126629144
cpg-2	spn4_plus	12-15-cell	2873.625	1829.74041386828
cpg-2	spn4_plus	16-28-cell	1783	1019.01661279042
cpg-2	spn4_minus	2-cell	19770.875	4398.21884200216
cpg-2	spn4_minus	4-cell	17233.125	3782.99161426131
cpg-2	spn4_minus	8-11-cell	19390.25	3347.19792192984
cpg-2	spn4_minus	12-15-cell	21001.375	5369.5020768756
cpg-2	spn4_minus	16-28-cell	18619.375	3430.17912641391
