GonadID,Genotype,Pos_m3,Pos_m2,Pos_m1,Pos_m1Z
260118_11238,WT,NA,10542,10092,10168
260118_11245,WT,10454,11714,11796,12322
260118_11248,WT,NA,14374,NA,12943
260118_11251,WT,12528,11788,13643,NA
260118_11263,WT,12425,12585,12233,NA
260118_11266,WT,7255,10602,NA,13330
260118_11270,WT,10421,13551,11851,NA
260118_11274,WT,11194,12838,11685,NA
260118_11280,WT,NA,12209,11838,10618
250403_11468,WT,NA,13937,13591,12459
250403_11496,WT,12722,12818,12096,NA
250403_11518,WT,NA,NA,12138,NA
250403_11522,WT,11788,13234,10575,11389
250403_11527,WT,12057,10960,11444,NA
250403_497,WT,NA,NA,NA,11267
250403_505,WT,NA,NA,NA,10803
250403_527,WT,11132,11100,11185,NA
251216_677,puf3 puf11,11758,11366,8340,NA
251216_692,puf3 puf11,14691,13621,10334,NA
251216_695,puf3 puf11,12480,10967,NA,6869
251216_712,puf3 puf11,10096,9905,NA,7763
251216_719,puf3 puf11,13987,12386,NA,4295
251216_725,puf3 puf11,11634,12236,9538,NA
251216_730,puf3 puf11,10597,NA,NA,7430
251216_755,puf3 puf11,11332,10372,14942,NA
251216_763,puf3 puf11,13517,12650,12367,NA
251216_769,puf3 puf11,10494,11685,10212,NA
260113_11035,puf3 puf11,13003,14293,10465,6794
260113_11025,puf3 puf11,12904,13181,9034,NA
260113_11019,puf3 puf11,14966,14830,14970,5720
260113_11016,puf3 puf11,NA,12791,12058,9960
260113_11013,puf3 puf11,NA,NA,14383,5888
260113_11031,puf3 puf11,NA,14074,12196,NA
260210_11479,tm291,10669,10431,11017,NA
260210_11482,tm291,9739,11305,10755,10898
260210_11486,tm291,11120,10550,10711,11553
260210_11491,tm291,11399,11623,13105,
260210_11495,tm291,10302,10526,10932,10830
260210_11498,tm291,10617,10996,11178,NA
260210_11501,tm291,10544,10326,10811,NA
260210_11504,tm291,9871,11681,10678,NA
260210_11514,tm291,10236,10431,NA,10772
260210_11518,tm291,10445,11015,11227,NA
260210_11522,tm291,NA,12234,12254,NA
260210_11525,tm291,9999,10364,NA,NA
260210_11530,tm291,NA,11360,NA,10547
251208_252,tm291,12697,12085,NA,10668
251208_288,tm291,10985,11639,12366,NA
251208_305,tm291,12023,11736,14986,NA
251208_308,tm291,10686,11796,11492,NA
251208_314,tm291,10942,11065,13473,12558
251208_320,tm291,NA,11885,12419,11985
251208_325,tm291,12308,11903,12275,NA
251208_331,tm291,11684,11597,11716,NA
251208_334,tm291,NA,11436,13054,NA
251208_351,tm291,10769,12159,9156,11198
251208_362,tm291,12016,12519,11660,NA
251208_374,tm291,10908,11182,11542,11426
