GonadID,Genotype,Pos_m3,Pos_m2,Pos_m1,Pos_m1Z
260118_11126,tm291,11865,12391,9072,NA
260118_11132,tm291,10328,10703,10793,NA
260118_11135,tm291,NA,NA,8929,10004
260118_11150,tm291,10853,9754,9767,NA
260118_11155,tm291,10237,10031,9927,9686
260118_11162,tm291,10944,10663,9940,NA
251208_492,tm291,NA,11790,11766,9608
251208_496,tm291,11293,9565,NA,NA
251208_507,tm291,9687,9607,9331,NA
251208_512,tm291,9779,9347,9509,NA
251208_516,tm291,9393,10855,6163,11361
251208_525,tm291,11303,10475,10626,NA
251208_528,tm291,10967,10964,NA,10156
251208_536,tm291,10542,10906,8501,10594
251208_541,tm291,10219,9790,8518,NA
251208_556,tm291,10280,10374,9755,NA
251208_565,tm291,10666,10074,9235,9872
251208_565,tm291,9678,9446,NA,9765
260118_11176,WT,10808,10975,9111,10595
260118_11201,WT,9088,8878,7954,NA
260118_11208,WT,11783,11015,NA,10297
260118_11211,WT,10927,10807,11147,NA
260118_11214,WT,NA,11460,10452,11288
260118_11293,WT,9065,9774,9310,9689
260118_11296,WT,12999,9992,NA,10329
260118_11300,WT,9836,10571,9321,NA
260118_11303,WT,13767,14816,11491,10252
260118_11306,WT,10340,11167,10166,NA
260118_11309,WT,11440,NA,NA,NA
260118_11312,WT,11169,11423,9549,NA
260118_11316,WT,11332,9522,NA,9732
260118_11320,WT,11553,11000,10495,14739
251023_728,WT,11474,11665,NA,11490
251023_758,WT,13211,13610,NA,NA
251023_767,WT,10396,10474,NA,NA
251024_863,WT,NA,10815,12130,NA
251024_821,WT,12198,12339,12463,NA
260118_11180,WT,NA,NA,NA,10245
260118_11191,WT,NA,NA,NA,9774
